1958-11-03	25	13	3	yes i want you	ivory joe hunter	Atlantic 1191
1958-11-03	26	14	3	little boy blue	bobby "blue" bland	Duke 196
1958-11-03	27	20	3	chantilly lace	big bopper	Mercury 71343
1958-11-03	28	24	3	summertime blues	eddie cochran	Liberty 55144
1958-11-03	29	30	3	it's so fine	lavern baker	Atlantic 2001
1958-11-03	30	NEW	1	it's only make believe	conway twitty	MGM 12677
1958-11-10	1	1	4	topsy ii	cozy cole	Love 5004
1958-11-10	2	2	4	it's all in the game	tommy edwards	MGM 12688
1958-11-10	3	8	4	rock-in robin	bobby day	Class 229
1958-11-10	4	5	4	tears on my pillow	little anthony and the imperials	End 1027
1958-11-10	5	7	4	a lover's question	clyde mcphatter	Atlantic 1199
1958-11-10	6	6	4	i'm gonna get my baby	jimmy reed	Vee-Jay 304
1958-11-10	7	3	4	hold it	bill doggett	King 5149
1958-11-10	8	4	4	win your love for me	sam cooke	Keen 3-2006
1958-11-10	9	10	4	just a dream	jimmy clanton and his rockets	Ace 546
1958-11-10	10	9	4	close to you	muddy waters	
1958-11-10	11	11	4	key to the highway	little walter	Checker 904
1958-11-10	12	20	2	queen of the hop	bobby darin	Atco 6127
1958-11-10	13	NEW	1	try me	james brown and the famous flames	Federal 12337
1958-11-10	14	12	4	baby face	little richard	Specialty 645
1958-11-10	15	30	2	it's only make believe	conway twitty	MGM 12677
1958-11-10	16	NEW	1	please accept my love	b.b. king	
1958-11-10	17	27	4	chantilly lace	big bopper	Mercury 71343
1958-11-10	18	15	4	ten commandments of love	harvey & the moonglows	Chess 1705
1958-11-10	19	18	4	little star	the elegants	Apt 25005
1958-11-10	20	26	4	little boy blue	bobby "blue" bland	Duke 196
1958-11-10	21	24	4	tell it like it is	little willie john	King 5147
1958-11-10	22	19	2	i'm sorry	kenny martin	Federal 12330
1958-11-10	23	14	4	it don't hurt no more	nappy brown	
1958-11-10	24	17	4	my life	chuck willis	Uptown/MCA 11156
1958-11-10	25	23	2	this little girl's gone rockin'	ruth brown	
1958-11-10	26	16	4	the end	earl grant	Decca 30719
1958-11-10	27	NEW	1	come on, let's go	ritchie valens	Del-Fi 4106
1958-11-10	28	NEW	1	a part of me	jimmy clanton	Ace 551
1958-11-10	29	RE	3	down the aisle of love	the quin-tones	Hunt 321
1958-11-10	30	13	4	carol	chuck berry	Chess 1700
1958-11-17	1	1	5	topsy ii	cozy cole	Love 5004
1958-11-17	2	2	5	it's all in the game	tommy edwards	MGM 12688
1958-11-17	3	3	5	rock-in robin	bobby day	Class 229
1958-11-17	4	5	5	a lover's question	clyde mcphatter	Atlantic 1199
1958-11-17	5	6	5	i'm gonna get my baby	jimmy reed	Vee-Jay 304
1958-11-17	6	11	5	key to the highway	little walter	Checker 904
1958-11-17	7	7	5	hold it	bill doggett	King 5149
1958-11-17	8	9	5	just a dream	jimmy clanton and his rockets	Ace 546
1958-11-17	9	12	3	queen of the hop	bobby darin	Atco 6127
1958-11-17	10	4	5	tears on my pillow	little anthony and the imperials	End 1027
1958-11-17	11	16	2	please accept my love	b.b. king	
1958-11-17	12	17	5	chantilly lace	big bopper	Mercury 71343
1958-11-17	13	8	5	win your love for me	sam cooke	Keen 3-2006
1958-11-17	14	10	5	close to you	muddy waters	
1958-11-17	15	20	5	little boy blue	bobby "blue" bland	Duke 196
1958-11-17	16	NEW	1	nobody but you	dee clark	Abner 1019
1958-11-17	17	RE	2	why me	ruth brown	Geffen 29464
1958-11-17	18	13	2	try me	james brown and the famous flames	Federal 12337
1958-11-17	19	21	5	tell it like it is	little willie john	King 5147
1958-11-17	20	NEW	1	lonely teardrops	jackie wilson	
1958-11-17	21	14	5	baby face	little richard	Specialty 645
1958-11-17	22	23	5	it don't hurt no more	nappy brown	
1958-11-17	23	15	3	it's only make believe	conway twitty	MGM 12677
1958-11-17	24	RE	4	it's so fine	lavern baker	Atlantic 2001
1958-11-17	25	NEW	1	to know him, is to love him	the teddy bears	Dore 503
1958-11-17	26	RE	3	you cheated	the shields	Dot 15805
1958-11-17	27	NEW	1	one night	elvis presley	RCA Victor 47-7410
