1983-01-15	1	1	1	maneater	daryl hall & john oates	RCA 13354
1983-01-15	2	6	1	down under	men at work	Columbia 03303
1983-01-15	3	3	1	the girl is mine	michael jackson & paul mccartney	Epic 03288
1983-01-15	4	2	1	mickey	toni basil	Chrysalis 2638
1983-01-15	5	5	1	dirty laundry	don henley	Asylum 69894
1983-01-15	6	8	1	sexual healing	marvin gaye	Columbia 03302
1983-01-15	7	7	1	it's raining again	supertramp	A&M 2502
1983-01-15	8	4	1	truly	lionel richie	Motown 1644
1983-01-15	9	9	1	the look of love (pt. 1)	abc	Mercury 76168
1983-01-15	10	14	1	africa	toto	Columbia 03335
1983-01-15	11	17	1	baby, come to me	patti austin (with james ingram)	Qwest 50036
1983-01-15	12	11	1	rock this town	stray cats	EMI America 8132
1983-01-15	13	10	1	steppin' out	joe jackson	A&M 2428
1983-01-15	14	16	1	you can't hurry love	phil collins	Atlantic 89933
1983-01-15	15	18	1	the other guy	little river band	Capitol 5185
1983-01-15	16	15	1	heartbreaker	dionne warwick	Arista 1015
1983-01-15	17	19	1	you got lucky	tom petty & heartbreakers	Backstreet 52144
1983-01-15	18	20	1	rock the casbah	clash	Epic 03245
1983-01-15	19	25	1	goody two shoes	adam ant	Epic 03367
1983-01-15	20	24	1	heart to heart	kenny loggins	Columbia 03377
1983-01-15	21	31	1	shame on the moon	bob seger & silver bullet band	Capitol 5187
1983-01-15	22	22	1	hand to hold on to	john cougar	Riva 211
1983-01-15	23	23	1	on the wings of love	jeffrey osborne	A&M 2434
1983-01-15	24	45	1	do you really want to hurt me=	culture club	Epic/Virgin 03368
1983-01-15	25	27	1	what about me	moving pictures	Network 69952
1983-01-15	26	35	1	allentown	billy joel	Columbia 03413
1983-01-15	27	29	1	you and i	eddie rabbitt with crystal gayle	Elektra 69936
1983-01-15	28	28	1	a penny for your thoughts	tavares	RCA 13292
1983-01-15	29	30	1	let's go dancin' (ooh la, la, la)	kool & gang	De-Lite 824
1983-01-15	30	33	1	i do	j. geils band	EMI America 8148
1983-01-15	31	34	1	love in store	fleetwood mac	Warner Bros. 29848
1983-01-15	32	38	1	heart of the night	juice newton	Capitol 5192
1983-01-15	33	36	1	i gotta try	michael mcdonald	Warner Bros. 29862
1983-01-15	34	37	1	shock the monkey	peter gabriel	Geffen 29883
1983-01-15	35	21	1	gloria	laura branigan	Atlantic 4048
1983-01-15	36	42	1	bad boy	ray parker jr.	Arista 1030
1983-01-15	37	40	1	two less lonely people in the world	air supply	Arista 1004
1983-01-15	38	39	1	does it make you remember	kim carnes	EMI America 8147
1983-01-15	39	43	1	space age love song	flock of seagulls	Jive 2003
1983-01-15	40	44	1	memory	barry manilow	Arista 1025
1983-01-15	41	13	1	shadows of the night	pat benatar	Chrysalis 2647
1983-01-15	42	12	1	muscles	diana ross	RCA 13348
1983-01-15	43	48	1	your love is driving me crazy	sammy hagar	Geffen 29816
1983-01-15	44	41	1	up where we belong	joe cocker & jennifer warnes	Island 99996
1983-01-15	45	49	1	i know there's something going on	frida	Atlantic 89984
1983-01-15	46	78	1	stray cat strut	stray cats	EMI America 8122
1983-01-15	47	53	1	all those lies	glenn frey	Asylum 69857
1983-01-15	48	26	1	be my lady	jefferson starship	Grunt 13350
1983-01-15	49	58	1	i knew you when	linda ronstadt	Asylum 69853
1983-01-15	50	55	1	twilight zone	golden earring	21 Records 103
1983-01-15	51	56	1	right before your eyes	america	Capitol 5177
1983-01-15	52	59	1	on the loose	saga	Portrait 03359
1983-01-15	53	47	1	nobody	sylvia	RCA 13223
1983-01-15	54	NEW	1	you are	lionel richie	Motown 1657
1983-01-15	55	NEW	1	pass the dutchie	musical youth	MCA 52149
1983-01-15	56	61	1	put it in a magazine	sonny charles	Highrise 2001
1983-01-15	57	65	1	the woman in me	donna summer	Geffen 29805
1983-01-15	58	63	1	psychobabble	alan parsons project	Arista 1029
1983-01-15	59	74	1	back on the chain gang	pretenders	Sire 29840
1983-01-15	60	46	1	1999	prince	Warner Bros. 29896
1983-01-15	61	32	1	whatcha gonna do	chilliwack	Millennium 13110
1983-01-15	62	66	1	funny how time slips away	spinners	Atlantic 89922
1983-01-15	63	52	1	everybody wants you	billy squier	Capitol 5163
1983-01-15	64	83	1	hungry like the wolf	duran duran	Harvest 5195
1983-01-15	65	60	1	goodbye to you	scandal	Columbia 03234
1983-01-15	66	51	1	i.g.y. (what a	beautiful world) donald fagen	Warner Bros. 29900
1983-01-15	67	50	1	missing you	dan fogelberg	Full Moon/Epic 03289
1983-01-15	68	NEW	1	i'm alive	neil diamond	Columbia 03503
1983-01-15	69	NEW	1	heartlight	neil diamond	Columbia 03219
1983-01-15	70	73	1	give it up	steve miller band	Capitol 5194
1983-01-15	71	62	1	used to be	charlene & stevie wonder	Motown 1650
1983-01-15	72	64	1	southern cross	crosby, stills & nash	Atlantic 89969
1983-01-15	73	68	1	who can it be now?	men at work	Columbia 02888
1983-01-15	74	NEW	1	breaking us in two	joe jackson	A&M 2510
1983-01-15	75	NEW	1	all touch	rough trade	Boardwalk 167
1983-01-15	76	80	1	young love	janet jackson	A&M 2440
1983-01-15	77	86	1	shoot for the moon	poco	Atlantic 89919
1983-01-15	78	82	1	don't stop trying	rodway	Millennium 13111
1983-01-15	79	87	1	forever	little steven & disciples of soul	EMI America 8144
1983-01-15	80	88	1	eminence front	the who	Warner Bros. 29814
1983-01-15	81	NEW	1	tied up	olivia newton-john	MCA 52155
1983-01-15	82	NEW	1	papa was a rollin' stone	wolf	Constellation 69849
1983-01-15	83	71	1	jump	loverboy	Columbia 03346
1983-01-15	84	NEW	1	the blues	randy newman & paul simon	Warner Bros. 29803
1983-01-15	85	NEW	1	i can't stand still	don henley	Asylum 69931
1983-01-15	86	NEW	1	burning heart	vandenberg	Atco 99947
1983-01-15	87	NEW	1	windows	missing persons	Capitol 5200
1983-01-15	88	NEW	1	dreamin' is easy	steel breeze	RCA 13427
1983-01-15	89	NEW	1	are you getting enough happiness	hot chocolate	EMI America 8143
1983-01-15	90	NEW	1	got to be there	chaka khan	Warner Bros. 29881
1983-01-15	91	NEW	1	heart attack	olivia newton-john	MCA 52100
1983-01-15	92	76	1	painted picture	commodores	Motown 1651
1983-01-15	93	67	1	i keep forgettin' (every time you're near)	michael mcdonald	Warner Bros. 29933
1983-01-15	94	81	1	cross my heart	lee ritenour	Elektra 69892
1983-01-15	95	72	1	theme from dynasty	bill conti	Arista 1021
1983-01-15	96	89	1	the elvis medley	elvis presley	RCA 13351
1983-01-15	97	69	1	destination unknown	missing persons	Capitol 5161
1983-01-15	98	84	1	a love song	kenny rogers	Liberty 1485
1983-01-15	99	NEW	1	always	firefall	Atlantic 89916
1983-01-15	100	NEW	1	love me tomorrow	chicago	Full Moon 29911
1983-01-22	1	2	2	down under	men at work	Columbia 03303
1983-01-22	2	1	2	maneater	daryl hall & john oates	RCA 13354
1983-01-22	3	3	2	the girl is mine	michael jackson & paul mccartney	Epic 03288
1983-01-22	4	4	2	mickey	toni basil	Chrysalis 2638
1983-01-22	5	6	2	sexual healing	marvin gaye	Columbia 03302
1983-01-22	6	5	2	dirty laundry	don henley	Asylum 69894
1983-01-22	7	10	2	africa	toto	Columbia 03335
1983-01-22	8	11	2	baby, come to me	patti austin (with james ingram)	Qwest 50036
1983-01-22	9	8	2	truly	lionel richie	Motown 1644
1983-01-22	10	7	2	it's raining again	supertramp	A&M 2502
1983-01-22	11	14	2	you can't hurry love	phil collins	Atlantic 89933
1983-01-22	12	15	2	the other guy	little river band	Capitol 5185
1983-01-22	13	12	2	rock this town	stray cats	EMI America 8132
1983-01-22	14	18	2	rock the casbah	clash	Epic 03245
1983-01-22	15	21	2	shame on the moon	bob seger & silver bullet band	Capitol 5187
1983-01-22	16	17	2	you got lucky	tom petty & heartbreakers	Backstreet 52144
1983-01-22	17	19	2	goody two shoes	adam ant	Epic 03367
1983-01-22	18	20	2	heart to heart	kenny loggins	Columbia 03377
1983-01-22	19	24	1	do you really want to hurt me	culture club	Epic/Virgin 03368
1983-01-22	20	13	2	steppin' out	joe jackson	A&M 2428
1983-01-22	21	9	2	the look of love (pt. 1)	abc	Mercury 76168
1983-01-22	22	26	2	allentown	billy joel	Columbia 03413
1983-01-22	23	25	2	what about me	moving pictures	Network 69952
1983-01-22	24	27	2	you and i	eddie rabbitt with crystal gayle	Elektra 69936
1983-01-22	25	16	2	heartbreaker	dionne warwick	Arista 1015
1983-01-22	26	22	2	hand to hold on to	john cougar	Riva 211
1983-01-22	27	32	2	heart of the night	juice newton	Capitol 5192
1983-01-22	28	23	2	on the wings of love	jeffrey osborne	A&M 2434
1983-01-22	29	31	2	love in store	fleetwood mac	Warner Bros. 29848
1983-01-22	30	30	2	i do	j. geils band	EMI America 8148
1983-01-22	31	33	2	i gotta try	michael mcdonald	Warner Bros. 29862
1983-01-22	32	36	2	bad boy	ray parker jr.	Arista 1030
1983-01-22	33	34	2	shock the monkey	peter gabriel	Geffen 29883
1983-01-22	34	37	2	two less lonely people in the world	air supply	Arista 1004
1983-01-22	35	46	2	stray cat strut	stray cats	EMI America 8122
1983-01-22	36	39	2	space age love song	flock of seagulls	Jive 2003
1983-01-22	37	40	2	memory	barry manilow	Arista 1025
1983-01-22	38	43	2	your love is driving me crazy	sammy hagar	Geffen 29816
1983-01-22	39	54	2	you are	lionel richie	Motown 1657
1983-01-22	40	45	2	i know there's something going on	frida	Atlantic 89984
1983-01-22	41	49	2	i knew you when	linda ronstadt	Asylum 69853
1983-01-22	42	47	2	all those lies	glenn frey	Asylum 69857
1983-01-22	43	55	2	pass the dutchie	musical youth	MCA 52149
1983-01-22	44	NEW	1	all right	christopher cross	Warner Bros. 29843
1983-01-22	45	64	2	hungry like the wolf	duran duran	Harvest 5195
1983-01-22	46	50	2	twilight zone	golden earring	21 Records 103
1983-01-22	47	52	2	on the loose	saga	Portrait 03359
1983-01-22	48	59	2	back on the chain gang	pretenders	Sire 29840
1983-01-22	49	51	2	right before your eyes	america	Capitol 5177
1983-01-22	50	35	2	gloria	laura branigan	Atlantic 4048
1983-01-22	51	41	2	shadows of the night	pat benatar	Chrysalis 2647
1983-01-22	52	57	2	the woman in me	donna summer	Geffen 29805
1983-01-22	53	29	2	let's go dancin' (ooh la, la, la)	kool & gang	De-Lite 824
1983-01-22	54	56	2	put it in a magazine	sonny charles	Highrise 2001
1983-01-22	55	68	2	i'm alive	neil diamond	Columbia 03503
1983-01-22	56	74	2	breaking us in two	joe jackson	A&M 2510
1983-01-22	57	28	2	a penny for your thoughts	tavares	RCA 13292
1983-01-22	58	58	2	psychobabble	alan parsons project	Arista 1029
1983-01-22	59	44	2	up where we belong	joe cocker & jennifer warnes	Island 99996
1983-01-22	60	62	2	funny how time slips away	spinners	Atlantic 89922
1983-01-22	61	42	2	muscles	diana ross	RCA 13348
1983-01-22	62	38	2	does it make you remember	kim carnes	EMI America 8147
1983-01-22	63	53	2	nobody	sylvia	RCA 13223
1983-01-22	64	60	2	1999	prince	Warner Bros. 29896
1983-01-22	65	NEW	1	billie jean	michael jackson	Epic 03509
1983-01-22	66	48	2	be my lady	jefferson starship	Grunt 13350
1983-01-22	67	81	2	tied up	olivia newton-john	MCA 52155
1983-01-22	68	77	2	shoot for the moon	poco	Atlantic 89919
1983-01-22	69	84	2	the blues	randy newman & paul simon	Warner Bros. 29803
