1988-01-16	1	NEW	1	got my mind set on you	george harrison	Dark Horse 28178
1988-01-16	2	7	1	the way you make me feel	michael jackson	Epic 07645
1988-01-16	3	10	1	need you tonight	inxs	Atlantic 89188
1988-01-16	4	4	1	so emotional	whitney houston	Arista 9642
1988-01-16	5	1	1	faith	george michael	Columbia 07623
1988-01-16	6	2	1	is this love	whitesnake	Geffen 28233
1988-01-16	7	14	1	hazy shade of winter	bangles	Def Jam 07630
1988-01-16	8	12	1	candle in the wind	elton john	MCA 53196
1988-01-16	9	17	1	could've been	tiffany	MCA 53231
1988-01-16	10	11	1	tell it to my heart	taylor dayne	Arista 9612
1988-01-16	11	8	1	catch me (i'm falling)	pretty poison	Virgin 99416
1988-01-16	12	19	1	seasons change	expose	Arista 9640
1988-01-16	13	5	1	don't you want me	jody watley	MCA 53162
1988-01-16	14	9	1	valerie	steve winwood	Island 28231
1988-01-16	15	20	1	i could never take the place of your man	prince	Paisley Park 28288
1988-01-16	16	25	1	i want to be your man	roger	Reprise 28229
1988-01-16	17	22	1	hungry eyes	eric carmen	RCA 5315
1988-01-16	18	6	1	shake your love	debbie gibson	Atlantic 89187
1988-01-16	19	21	1	there's the girl	heart	Capitol 44089
1988-01-16	20	26	1	tunnel of love	bruce springsteen	Columbia 07663
1988-01-16	21	36	1	what have i done to deserve this?	pet shop boys & dusty springfield	EMI-Manhattan 50107
1988-01-16	22	33	1	say you will	foreigner	Atlantic 89169
1988-01-16	23	31	1	don't shed a tear	paul carrack	Chrysalis 43164
1988-01-16	24	27	1	crazy	icehouse	Chrysalis 43156
1988-01-16	25	18	1	cherry bomb	john cougar mellencamp	Mercury 888 934
1988-01-16	26	35	1	everywhere	fleetwood mac	Warner Bros. 28143
1988-01-16	27	13	1	heaven is a place on earth	belinda carlisle	MCA 53181
1988-01-16	28	15	1	dude (looks like a lady)	aerosmith	Geffen 28240
1988-01-16	29	30	1	power of love	laura branigan	Atlantic 89191
1988-01-16	30	32	1	true faith	new order	Qwest 28271
1988-01-16	31	34	1	i live for your love	natalie cole	Manhattan 50094
1988-01-16	32	37	1	honestly	stryper	Enigma 75009
1988-01-16	33	54	1	she's like the wind	patrick swayze featuring wendy fraser	RCA 5363
