misty	"groove" holmes	7/16/66 Prestige	
release me	"little esther" phillips	Lenox	5555
who's the fool	"singin" sammy ward	Tamla	54030
do da what	1 of the girls	EastWest	98419
90 day freeze (on her love)	100 proof aged in soul	Hot Wax	7108
driveway	100 proof aged in soul	Hot Wax	7104
everything good is bad	100 proof aged in soul	hot wax	7202
ninety day freeze	100 proof aged in soul	hot wax	7108
one man's leftovers	100 proof aged in soul	hot wax	7009
one man's leftovers (is another man's feast)	100 proof aged in soul	Hot Wax	7009
somebody's been sleeping	100 proof aged in soul	hot wax	7004
too many cooks (spoil the soup)	100 proof aged in soul	Hot Wax	6904
because the night	10000 maniacs	elektra	64595
candy everybody wants	10000 maniacs	elektra	64665
like the weather	10000 maniacs	elektra	69418
these are days	10000 maniacs	elektra	64700
trouble me	10000 maniacs	elektra	69298
art for art's sake	10cc	mercury	73725
dreadlock holiday	10cc	polydor	14511
for you and i	10cc	polydor	14528
good morning judge	10cc	mercury	73943
i'm mandy fly me	10cc	mercury	73779
i'm not in love	10cc	mercury	73678
people in love	10cc	mercury	73917
rubber bullets	10cc	uk	49015
the things we do for love	10cc	mercury	73875
the wall street shuffle	10cc	uk	49023
i burn for you	10db	Crush Music	706
i second that emotion	10db	Crush Music	601
1 2 3 red light	1910 fruitgum company	buddah	54
goody goody gumdrops	1910 fruitgum company	buddah	71
indian giver	1910 fruitgum company	buddah	91
may i take a giant step	1910 fruitgum company	buddah	39
simon says	1910 fruitgum company	buddah	24
special delivery	1910 fruitgum company	buddah	114
the train	1910 fruitgum company	buddah	130
when we get married	1910 fruitgum company	buddah	146
wiggle it	2 in a room	charisma	98887
me so horny	2 live crew	skyywalker	130
this is ponderous	2 nu	atlantic	87771
walk tall	2 of clubs	fraternity	975
i get around	2 pac	interscope	98372
keep ya head up	2 pac	interscope	98345
get ready for this	2 unlimited	radikal	15490
twilight zone	2 unlimited	radikal	15486
if you want it	2nd ii none	Profile	5361
brenda's got a baby	2pac	Interscope	96212
dear mama	2pac	Interscope	98273
i get around	2pac	Interscope	96036
keep ya head up	2pac	Interscope	98345
dedicated (to the songs i love)	3 friends	imperial	5763
jack the lad	3 man island	chrysalis	43231
back to paradise	38 special	a&m	2955
back where you belong	38 special	a&m	2615
caught up in you	38 special	a&m	2412
comin’ down tonight	38 special	a&m	1424
fantasy girl	38 special	a&m	2330
hold on loosely	38 special	a&m	2316
if i’d been the one	38 special	a&m	2594
like no other night	38 special	a&m	2831
rock & roll strategy	38 special	a&m	1246
rockin’ into the night	38 special	a&m	2205
second chance	38 special	a&m	1273
somebody like you	38 special	a&m	2854
teacher teacher	38 special	capitol	5405
the sound of your voice	38 special	charisma	98773
you keep runnin’ away	38 special	a&m	2431
pop goes the weasel	3rd bass	Def Jam	73728
the gas face	3rd bass	Def Jam	73046
come over	4 by four	Capitol	44034
want you for my girlfriend	4 by four	capitol	5690
what's up	4 non blondes	interscope	98430
drag my bad name down	4 of us	columbia	73243
don't you love me	49er's	4th & b'way	447506
shadows	5 satins	Ember	1056
you're something special	5 special	Elektra	46531
something's missing	5 stairsteps and cubie	Buddah	20
i'm on fire	5000 volts	philips	40801
tell me (how it feels)	52nd street	MCA	52805
kitty kitty	69 boyz	Rip-It	6921
tootsee roll	69 boyz	Down Low	6911
i could be good for you	707	casablanca	2280
mega force	707	boardwalk	146
so high	7669	Motown	2217
do it with your body	7th wonder	Parachute	527
i enjoy ya	7th wonder	Chocolate City	3207
my love ain't never been this strong	7th wonder	Parachute	519
the tilt	7th wonder	Chocolate City	3212
if i could see the light	8th day	invictus	9107
she's not just another woman	8th day	invictus	9087
you've got to crawl (before you walk)	8th day	invictus	9098
all of me for all of you	9.9	rca	14082
i like the way you dance	9.9	RCA	14203
whoot there it is	95 south	wrap	0150
let's dance	9th creation	Hilltak	7901
96 tears	? & the mysterians	cameo	428
can't get enough of you baby	? & the mysterians	cameo	467
girl (you captivate me)	? & the mysterians	cameo	479
i need somebody	? & the mysterians	cameo	441
boogie oogie oogie	a taste of honey	Capitol	4565
do it good	a taste of honey	Capitol	4744
i'll try something new	a taste of honey	Capitol	5099
rescue me	a taste of honey	Capitol	4888
sukiyaki	a taste of honey	Capitol	4953
award tour	a tribe called quest	Jive	42187
scenario	a tribe called quest	Jive	42065
follow my heartbeat	a'me lorain	rca	2620
whole wide world	a'me lorain	rca	9098
cry wolf	a-ha	Warner Brothers	28500
take on me	a-ha	Warner Brothers	29011
the sun always shines on t.v.	a-ha	Warner Brothers	28846
age ain't nothing but a number	aaliyah	Blackground/Jive	42273
at your best (you are love)	aaliyah	Blackground/Jive	42239
back & forth	aaliyah	Blackground/Jive	42174
cream city	aalon	Arista	0249
get a little freaky with me	aaron hall	Silas/MCA	54229
i miss you	aaron hall	Silas/MCA	54847
let's make love	aaron hall	Silas/MCA	54783
when you need me	aaron hall	Silas/MCA	54902
all my life	aaron neville	elektra	64987
don't know much	aaron neville	elektra	69261
don't take away my heaven	aaron neville	a&m	0240
everybody plays the fool	aaron neville	a&m	1563
over you	aaron neville	Minit	612
she took you for a ride	aaron neville	parlo	103
somewhere somebody	aaron neville	a&m	1557
tell it like it is	aaron neville	parlo	101
when something is wrong with my baby	aaron neville	elektra	64968
the hitman	ab logic	Interscope	98506
life and death in g & a	abaco dream	A&M	1081
chiquitita	abba	Atlantic	3629
dancing queen	abba	Atlantic	3372
does your mother know	abba	Atlantic	3574
fernando	abba	Atlantic	3346
honey, honey	abba	Atlantic	3209
i do, i do, i do, i do, i do	abba	Atlantic	3310
knowing me, knowing you	abba	Atlantic	3387
mamma mia	abba	Atlantic	3315
money, money, money	abba	Atlantic	3434
sos	abba	Atlantic	3265
super trouper	abba	Atlantic	3806
take a chance on me	abba	Atlantic	3457
the name of the game	abba	Atlantic	3449
the visitors	abba	Atlantic	4031
the winner takes it all	abba	Atlantic	3776
voulez-vous/angel eyes	abba	Atlantic	3609
waterloo	abba	Atlantic	3035
when all is said and done	abba	Atlantic	3889
off to dublin in the green	abbey tavern singers	HBR	498
(how to be a) millionaire	abc	Mercury	884382
be near me	abc	Mercury	880626
poison arrow	abc	Mercury	810340
the look of love (part 1)	abc	Mercury	76168
vanity kills	abc	Mercury	884714
when smokey sings	abc	Mercury	888604
gypsy	abraham's children	Buddah	340
right and hype	abstrac'	Reprise	22872
back in black	ac/dc	Atlantic	3787
big gun	ac/dc	East West	98406
highway to hell	ac/dc	Atlantic	3617
let's get it up	ac/dc	Atlantic	3894
money talks	ac/dc	Atco	98881
you shook me all night long	ac/dc	Atlantic	3761
wiggle, wiggle	accents	Brunswick	55100
how long	ace	Anchor	21000
rock & roll runaway	ace	Anchor	21002
blues (stay away from me)	ace cannon	Hi	2051
cottonfields	ace cannon	Hi	2065
searchin'	ace cannon	Hi	2074
sugar blues	ace cannon	Santo	503
tuff	ace cannon	Hi	2040
volare	ace cannon	Hi	2057
new york groove	ace frehley	casablanca	941
all that she wants	ace of base	Arista	2614
don't send nobody else	ace spectrum	Atlantic	3012
friends or lovers	act 1	Spring	132
friends or lovers	act i	Spring	132
boy from new york city	ad libs	Blue Cat	102
i bet ya, i'll let ya	ada dyer	Motown	1905
desperate but not serious	adam ant	Epic	03688
goody two shoes	adam ant	Epic	03367
room at the top	adam ant	MCA	53679
strip	adam ant	Epic	04337
it's alright	adam faith	amy	913
talk about love	adam faith	amy	922
as if i didn’t know	adam wade	coed	553
gloria’s theme	adam wade	coed	541
i can’t help it	adam wade	coed	530
it’s so good to have you back	adam wade	coed	565
overview of paradise	adam wade	coed	560
ruby	adam wade	coed	526
take good care of her	adam wade	coed	546
tell her for me	adam wade	coed	520
the writing on the wall	adam wade	coed	550
there’ll be no teardrops tonight	adam wade	epic	9557
tonight i won’t be there	adam wade	coed	556
long stroke	adc band	Cotillion	44243
roll with the punches	adc band	Cotillion	47001
cherry stone	addrisi brothers	Del-Fi	4116
does she do it like she dances	addrisi brothers	Buddah	579
ghost dancer	addrisi brothers	Scotti Brothers	500
i can feel you	addrisi brothers	Columbia	45610
never my love	addrisi brothers	Buddah	587
slow dancin' don't turn me on	addrisi brothers	Buddah	566
we've got to get it on again	addrisi brothers	Columbia	45521
freak like me	adina howard	Mecca Don	64484
oh daddy	adrian belew	Atlantic	88904
the graduation song...pomp and circumstance	adrian kimberly	capitol	3962
broken land	adventures	Elektra	69414
dirty cash (money talks)	adventures of stevie v	Mercury	875802
amazing	aerosmith	Geffen	19264
angel	aerosmith	Geffen	28249
back in the saddle	aerosmith	Columbia	10516
chip away the stone	aerosmith	Columbia	10880
come together	aerosmith	Columbia	10802
cryin'	aerosmith	Geffen	19256
draw the line	aerosmith	Columbia	10637
dream on	aerosmith	Columbia	45894
dude (looks like a lady)	aerosmith	Geffen	28240
home tonight	aerosmith	Columbia	10407
janie's got a gun	aerosmith	Geffen	22727
kings and queens	aerosmith	Columbia	10699
last child	aerosmith	Columbia	10359
livin' on the edge	aerosmith	Geffen	19149
love in an elevator	aerosmith	Geffen	22845
rag doll	aerosmith	Geffen	27915
remember (walking in the sand)	aerosmith	Columbia	11181
sweet emotion	aerosmith	Columbia	10155
the other side	aerosmith	Geffen	19927
walk this way	aerosmith	Columbia	10449
what it takes	aerosmith	Geffen	19944
looking for the perfect beat	afrika bambaataa & soul sonic force	Tommy Boy	831
planet rock	afrika bambaataa & the soul sonic force	Tommy Boy	823
renegades of funk	afrika bambaataa & the soul sonic force	Tommy Boy	839
soul makossa	afrique	Mainstream	5542
baby i'm for real/natural high	after 7	Virgin	12623
can he love u like this	after 7	Virgin	12643
can't stop	after 7	Virgin	98961
don't cha' think	after 7	Virgin	99143
heat of the moment	after 7	Virgin	96553
kickin' it	after 7	Virgin	12594
my only woman	after 7	Virgin	98921
nights like this	after 7	Virgin	98798
ready or not	after 7	Virgin	98995
truly something special	after 7	Virgin	12670
going through the motions	after shock	Virgin	98868
der kommissar	after the fire	Epic	03559
it's you	afterbach	ARC	02222
general hospi-tale	afternoon delights	MCA	51148
can't shake loose	agnetha faltskog	polydor	815230
back in the day	ahmad	Giant	18217
all out of love	air supply	Arista	0520
even the nights are better	air supply	Arista	0692
every woman in the world	air supply	Arista	0564
here i am (just when i thought i was over you)	air supply	Arista	0626
just as i am	air supply	Arista	9353
lonely is the night	air supply	Arista	9521
lost in love	air supply	Arista	0479
making love out of nothing at all	air supply	Arista	9056
sweet dreams	air supply	Arista	0655
the one that you love	air supply	Arista	0604
the power of love	air supply	Arista	9391
two less lonely people in the world	air supply	Arista	1004
young love	air supply	Arista	1005
so hard livin' without you	airwaves	A&M	2032
trade winds	aki aleong	Reprise	20003
had enuf?	al b. sure!	Warner	19315
if i'm not your lover	al b. sure!	Warner	27556
killing me softly	al b. sure!	Warner Brothers	27772
misunderstanding	al b. sure!	Warner Brothers	19590
nite and day	al b. sure!	Warner Brothers	28192
off on your own (girl)	al b. sure!	Warner Brothers	27870
rescue me	al b. sure!	Warner	27762
right now	al b. sure!	Warner Brothers	18819
the secret garden	al b. sure!	Qwest	19992
the madison	al brown's tunetoppers	Amy	804
the madison	al brown's tunetoppers featuring cookie brown	Amy	804
bonanza	al caiola	United Artists	302
the magnificent seven	al caiola	United Artists	261
odyssey rock park	al capps band	Columbia	45219
jivin' around	al casey	Stacy	936
surfin' hootenany	al casey	Stacy	962
jivin' around	al casey combo	Stacy	936
square rooms	al corley	Mercury	822241
song from m*a*s*h	al delory	capitol	2811
i'll be holding on	al downing	chess	2158
as long as we're together	al green	A&M	1427
back up train	al green	hot line	15000
belle	al green	hi	77505
call me (come back home)	al green	hi	2235
driving wheel	al green	Hi	2188
everything's gonna be alright	al green	A&M	2919
full of fire	al green	hi	2300
guilty	al green	bell	45258
here i am (come and take me)	al green	hi	2247
hot wire	al green	bell	45305
i can't get next to you	al green	hi	2182
i feel good	al green	Hi	78511
i tried to tell myself	al green	Hi	2322
i'm still in love with you	al green	hi	2216
keep me cryin'	al green	hi	2319
l-o-v-e (love)	al green	hi	2282
let it shine	al green	Hi	2306
let's get married	al green	hi	2262
let's stay together	al green	hi	2202
livin' for you	al green	hi	2257
look what you done for me	al green	Hi	2211
look what you've done for me	al green	hi	2211
oh me oh my (dreams in my arms)	al green	hi	2288
put a little love in your heart	al green	a&m	1255
right now, right now	al green	Hi	2177
sha-la-la (make me happy)	al green	hi	2274
tired of being alone	al green	hi	2194
you ought to be with me	al green	hi	2227
you say it	al green	Hi	2172
back up train	al greene & the soul mate's	Hot Line	15000
after the lights go down low	al hibbler	decca	29982
he	al hibbler	decca	29660
i'm free	al hibbler	decca	30100
unchained melody	al hibbler	decca	29441
cotton candy	al hirt	rca	8346
fancy pants	al hirt	rca	8487
if	al hirt	rca	9717
java	al hirt	rca	8280
sugar lips	al hirt	rca	8391
up above my head	al hirt	rca	8439
how do you do	al hudson and the soul partners	ABC	12424
after all	al jarreau	warner brothers	29262
boogie down	al jarreau	warner brothers	29624
breakin’ away	al jarreau	warner brothers	49842
it's not hard to love you	al jarreau	Reprise	18872
l is for lover	al jarreau	Warner	28686
moonlighting	al jarreau	mca	53124
moonlighting (theme)	al jarreau	MCA	53124
mornin’	al jarreau	warner brothers	29720
raging waters	al jarreau	Warner	29091
so good	al jarreau	Reprise	27664
teach me tonight	al jarreau	warner brothers	50032
tell me what i gotta do	al jarreau	Warner	28538
trouble in paradise	al jarreau	warner brothers	29501
we’re in this love together	al jarreau	warner brothers	49746
your precious love	al jarreau and randy crawford	Warner	29893
i'm back for more	al johnson	Columbia	11207
you've got to pay the price	al kent	ric-tic	127
a voice in the choir	al martino	capitol	2053
always together	al martino	capitol	5239
daddy's little girl	al martino	capitol	5825
darling i love you	al martino	20th century fox	153
forgive me	al martino	capitol	5506
here in my heart	al martino	bbs	101
i can't get you out of my heart	al martino	20th century fox	132
i can't help falling in love	al martino	capitol	2746
i can't help it (if i'm still in love with you)	al martino	capitol	2355
i love you because	al martino	capitol	4930
i love you more and more every day	al martino	capitol	5108
i started loving you again	al martino	capitol	2674
just yesterday	al martino	capitol	5702
lili marlene	al martino	capitol	2158
little girl little boy	al martino	20th century fox	237
living a lie	al martino	capitol	5060
love is blue	al martino	capitol	2102
mary in the morning	al martino	capitol	5904
more than the eye can see	al martino	capitol	5989
my cherie	al martino	capitol	5434
my heart would know	al martino	capitol	5341
painted tainted rose	al martino	capitol	5000
sausalito	al martino	capitol	2468
somebody else is taking my place	al martino	capitol	5384
spanish eyes	al martino	capitol	5542
speak softly love	al martino	capitol	3313
tears and roses	al martino	capitol	5183
thank you for loving me	al martino	capitol	5239
the next hundred years	al martino	capitol	4508
the wheel of hurt	al martino	capitol	5741
think i'll go somewhere and cry myself to sleep	al martino	capitol	5598
to the door of the sun	al martino	capitol	3987
volare	al martino	capitol	4134
we could	al martino	capitol	5293
wiederseh'n	al martino	capitol	5652
with all my heart	al martino	capitol	5384
yes, my goodness, yes	al perkins	Atco	6693
midnight rocks	al stewart	arista	0552
on the border	al stewart	janus	267
song on the radio	al stewart	arista	0389
time passages	al stewart	arista	0362
year of the cat	al stewart	janus	266
do what you gotta do	al wilson	soul city	761
i won’t last a day without you/let me be the one	al wilson	rocky road	30202
i’ve got a feeling	al wilson	playboy	6062
la la peace song	al wilson	rocky road	30200
lodi	al wilson	soul city	775
poor side of town	al wilson	soul city	771
show and tell	al wilson	rocky road	30073
the snake	al wilson	soul city	767
touch and go	al wilson	rocky road	30076
who could be lovin’ you	al wilson	soul city	759
close enough to perfect	alabama	RCA	13294
deep river woman	alabama	Motown	1873
feels so right	alabama	RCA	12236
love in the first degree	alabama	RCA	12288
take me down	alabama	RCA	13210
the closer you get	alabama	RCA	13524
toyland	alan bown	Music Factory	402
sweet and gentle	alan dale	Coral	61435
chattahoochee	alan jackson	arista	2573
started out dancing ended up making love	alan o'day	pacific	002
undercover angel	alan o'day	pacific	001
(the system of) doctor tarr and professor fether	alan parsons project	20th century	2297
damned if i do	alan parsons project	arista	0454
days are numbers	alan parsons project	arista	9349
don't answer me	alan parsons project	arista	9160
don't let it show	alan parsons project	arista	0288
eye in the sky	alan parsons project	arista	0696
games people play	alan parsons project	arista	0573
i wouldn't want to be like you	alan parsons project	arista	0260
let's talk about me	alan parsons project	arista	9282
prime time	alan parsons project	arista	9208
psychobabble	alan parsons project	arista	1029
stereotomy	alan parsons project	arista	9433
time	alan parsons project	arista	0598
you don't believe	alan parsons project	arista	9108
black velvet	alannah myles	atlantic	88742
love is	alannah myles	atlantic	87945
presence of love	alarm	I.R.S.	53259
rain in the summertime	alarm	I.R.S.	53219
sold me down the river	alarm	I.R.S.	73002
strength	alarm	I.R.S.	52736
get your business straight	albert collins	Tumbleweed	1002
99 miles from l.a.	albert hammond	mums	6037
air disaster	albert hammond	mums	6030
down by the river	albert hammond	mums	6009
free electric band	albert hammond	mums	6018
half a million miles from home	albert hammond	mums	6024
i'm a train	albert hammond	mums	6026
if you gotta break another heart	albert hammond	mums	6015
it never rains in southern california	albert hammond	mums	6011
peacemaker	albert hammond	mums	6021
breaking up somebody's home	albert king	stax	0137
cold feet	albert king	epic	04917
i'll play the blues	albert king	stax	241
fantasy	aldo nova	portrait	02799
foolin' yourself	aldo nova	portrait	03001
loves on fire	aleem featuring leroy burgess	Atlantic	89439
i want to be your lover	aleese simmons	Orpheus	72656
oh lori	alessi	A&M	1955
put away your love	alessi	Qwest	50055
(come on) shout	alex brown	Mercury	880694
all true man	alexander o'neal	tabu	73627
aphrodisia	alexander o'neal	Tabu	7718
criticize	alexander o'neal	tabu	07600
fake	alexander o'neal	tabu	07100
if you were here tonight	alexander o'neal	Tabu	05418
in the middle	alexander o'neal	Tabu	7710
innocent	alexander o'neal	Tabu	04718
love makes no sense	alexander o'neal	Tabu	7706
never knew love	alexander o'neal	tabu	07646
saturday love	alexander o'neal	tabu	05767
the lovers	alexander o'neal	Tabu	07795
what is this thing called love?	alexander o'neal	Tabu	73810
what's missing	alexander o'neal	Tabu	05850
never knew love like this	alexander o'neal featuring cherrelle	Tabu	07646
there i go	alfie silas	RCA	13387
change the world	alfonzo	Larc	81011
girl, you are the one	alfonzo	Joe-Wes	81003
your booty makes me moody	alfonzo	Larc	81016
make it feel good	alfonzo surrett	MCA	41249
live every minute	ali thomson	a&m	2260
take a little rhythm	ali thomson	a&m	2243
more than words can say	alias	EMI	50324
perfect world	alias	Giant	19249
waiting for love	alias	EMI	50337
be my lover	alice cooper	Warner Brothers	7568
billion dollar babies	alice cooper	Warner Brothers	7724
caught in a dream	alice cooper	Warner Brothers	7490
clones (we're all)	alice cooper	Warner Brothers	49204
department of youth	alice cooper	Atlantic	3280
eighteen	alice cooper	Warner Brothers	7449
elected	alice cooper	Warner Brothers	7631
hello hurray	alice cooper	Warner Brothers	7673
hey stoopid	alice cooper	Epic	73845
house of fire	alice cooper	Epic	73085
how you gonna see me now	alice cooper	Warner Brothers	8695
i never cry	alice cooper	Warner Brothers	8228
no more mr. nice guy	alice cooper	Warner Brothers	7691
only my heart talkin'	alice cooper	Epic	73268
only women	alice cooper	Atlantic	3254
poison	alice cooper	Epic	68958
school's out	alice cooper	Warner Brothers	7596
teenage lament '74	alice cooper	Warner Brothers	7762
under my wheels	alice cooper	Warner Brothers	7529
welcome to my nightmare	alice cooper	Atlantic	3298
you and me	alice cooper	Warner Brothers	8349
he's mine	alice wonder land	Bardell	774
i love the nightlife (disco 'round)	alicia bridges	Polydor	14483
appreciation	alicia myers	MCA	52490
i want to thank you	alicia myers	MCA	52107
you get the best from me (say, say, say)	alicia myers	MCA	52425
baby talk	alisha	Vanguard	35262
bounce back	alisha	MCA	79021
invisible	alison moyet	columbia	04781
love resurrection	alison moyet	columbia	05411
just let it come	alive and kicking	Roulette	7087
tighter, tighter	alive and kicking	Roulette	7078
sexy ways-pretty legs pt. 1	all points bulletin band	LCR	10102
(she's got) skillz	all-4-one	Blitzz/Atlantic	87223
i swear	all-4-one	Blitzz/Atlantic	87243
so much in love	all-4-one	Blitzz/Atlantic	87271
(i will be your) shadow in the street	allan clarke	Atlantic	3459
slipstream	allan clarke	Elektra	46617
crazy downtown	allan sherman	warner brothers	5614
hello muddah hello fadduh - 1964	allan sherman	warner brothers	5449
hello muddah hello fadduh!	allan sherman	warner brothers	5378
the twelve gifts of christmas	allan sherman	warner brothers	5406
puddin n' tain	alley cats	Philles	108
are you sure	allisons	London	1197
ain't wastin' time no more	allman brothers band	Capricorn	0003
angeline	allman brothers band	Arista	0555
crazy love	allman brothers band	Capricorn	0320
jessica	allman brothers band	Capricorn	0036
ramblin' man	allman brothers band	Capricorn	0027
straight from the heart	allman brothers band	Arista	0618
speed	alpha team	Strictly Hype	106
big in japan	alphaville	Atlantic	89665
forever young	alphaville	Atlantic	89013
the lady in red	alphonse mouzon	Highrise	2000
work it (like a) 9 to 5	altitude	Bahia/RCA	2815
it must be love	alton mcclain & destiny	polydor	14532
alvin's boo-ga-loo	alvin cash	Mar-V-Lus	6014
keep on dancing	alvin cash	Toddlin' Town	111
philly freeze	alvin cash	Mar-V-Lus	6012
the barracuda	alvin cash	Mar-V-Lus	6005
twine time	alvin cash	Mar-V-Lus	6002
the barracuda	alvin cash & the crawlers	Mar-V-Lus	6005
twine time	alvin cash & the crawlers	Mar-V-Lus	6002
alvin's boo-ga-loo	alvin cash & the registers	Mar-V-Lus	6014
the philly freeze	alvin cash & the registers	Mar-V-Lus	6012
something you got	alvin robinson	tiger	104
my love is so raw	alyson williams (featuring nikki d)	Def Jam	68903
you are the one	am-fm	Dakar	4568
amazing grace	amazing rhythm aces	ABC	12142
the end is not in sight	amazing rhythm aces	ABC	12202
third rate romance	amazing rhythm aces	ABC	12078
montego bay	amazulu	Mango	121
baby please don't go	amboy dukes	Mainstream	576
journey to the center of the mind	amboy dukes	Mainstream	684
you talk sunshine, i breathe fire	amboy dukes	Mainstream	693
biggest part of me	ambrosia	Warner	49225
can't let a woman	ambrosia	20th Century	2310
holdin' on to yesterday	ambrosia	20th Century	2207
how much i feel	ambrosia	Warner Brothers	8640
magical mystery tour	ambrosia	20th Century	2327
nice, nice, very nice	ambrosia	20th Century	2244
the biggest part of me	ambrosia	Warner Brothers	49225
you're the only woman (you & i)	ambrosia	Warner Brothers	49508
amber cascades	america	Warner Brothers	8238
california dreamin'	america	American Int.	700
daisy jane	america	Warner Brothers	8118
don't cross the river	america	Warner Brothers	7670
horse with no name	america	Warner Brothers	7555
i need you	america	Warner Brothers	7580
lonely people	america	Warner Brothers	8048
muskrat love	america	Warner Brothers	7725
only in your heart	america	Warner Brothers	7694
right before your eyes	america	Capitol	5177
sister golden hair	america	Warner Brothers	8086
the border	america	Capitol	5236
tin man	america	Warner Brothers	7839
today's the day	america	Warner Brothers	8212
ventura highway	america	Warner Brothers	7641
woman tonight	america	Warner Brothers	8157
you can do magic	america	Capitol	5142
anyway that you want me	american breed	Acta	827
bend me, shape me	american breed	Acta	811
don't forget about me	american breed	Acta	808
green light	american breed	Acta	821
ready, willing and able	american breed	Acta	824
step out of your mind	american breed	Acta	804
breaking up is hard on you	american comedy network	Critique	704
a very precious love	ames brothers	RCA	7167
can anyone explain	ames brothers	Coral	60254
china doll	ames brothers	RCA	7655
i saw esau	ames brothers	RCA	6720
it only hurts for a little while	ames brothers	RCA	6481
little serenade	ames brothers	RCA	7268
man with the banjo	ames brothers	RCA	5644
melodie d'amour	ames brothers	RCA	7046
pussy cat/no one but you (in my heart)	ames brothers	RCA	7315
rag mop	ames brothers	Coral	60140
red river rose	ames brothers	RCA	7413
sentimental me	ames brothers	Coral	60173
someone to come home to	ames brothers	RCA	7526
tammy/rockin' shoes	ames brothers	RCA	6930
the naughty lady of shady lane	ames brothers	RCA	5897
undecided	ames brothers	Coral	60566
you, you, you	ames brothers	RCA	5325
friends	amii stewart	Emergency	4548
knock on wood	amii stewart	ariola	7736
light my fire	amii stewart	ariola	7753
light my fire/137 disco heaven	amii stewart	Ariola America	7753
my guy/my girl	amii stewart	handshake	5300
groove your blues away	amuzement park band	Our Gang	1008
baby baby	amy grant	a&m	1549
every heartbeat	amy grant	a&m	1557
find a way	amy grant	a&m	2734
good for me	amy grant	a&m	1573
i will remember you	amy grant	a&m	1600
that's what love is for	amy grant	a&m	1566
the next time i fall	amy grant	full moon	28597
wise up	amy grant	a&m	2762
how do i survive	amy holland	capitol	4884
got to tell me something	ana	Parc	73317
on and off (part 1)	anacostia	Columbia	45685
make me wanna dance	andre cymone	Columbia	04066
like young	andre previn with david rose	mgm	12792
pearl time	andre williams	sport	105
rib tip’s (part 1)	andre williams	alvin	103
it hurts to be sixteen	andrea carroll	Big Top	3156
more more more (part 1)	andrea true connection	buddah	515
more, more, more pt. 1	andrea true connection	Buddah	515
n.y. you got me dancing	andrea true connection	buddah	564
party line	andrea true connection	buddah	538
what’s your name what’s your number	andrea true connection	buddah	582
lonely boy	andrew gold	asylum	45384
never let her slip away	andrew gold	asylum	45489
thank you for being a friend	andrew gold	asylum	45456
that's why i love you	andrew gold	asylum	45286
shake	andrew ridgely	columbia	73337
i wanna be loved	andrews sisters	Decca	27007
what’s your name	andy & david williams	barnaby	601
spider jivin'	andy fairweather low	a&m	1649
do you love me	andy fraser	island	99784
(love is) thicker than water	andy gibb	rso	883
(our love) don't throw it all away	andy gibb	rso	911
all i have to do is dream	andy gibb	rso	1065
an everlasting love	andy gibb	rso	904
desire	andy gibb	rso	1019
i can't help it	andy gibb	rso	1026
i just want to be your everything	andy gibb	rso	872
me (without you)	andy gibb	rso	1056
shadow dancing	andy gibb	rso	893
time is time	andy gibb	rso	1059
a friend in the city	andy kim	steed	720
baby i love you	andy kim	steed	715
be my baby	andy kim	steed	727
fire baby i'm on fire	andy kim	capitol	3895
how'd we ever get this way	andy kim	serock	2006
i been moved	andy kim	steed	731
i wish i were	andy kim	steed	729
it's your life	andy kim	steed	723
rainbow ride	andy kim	steed	710
rock me gently	andy kim	steed	734
shoot 'em up baby	andy kim	steed	707
so good together	andy kim	steed	716
tricia tell your daddy	andy kim	steed	711
avenging annie	andy pratt	columbia	45804
just young	andy rose	aamco	100
a scottish soldier	andy stewart	warwick	627
take it easy	andy taylor	atlantic	89414
when the rain comes down	andy taylor	mca	52946
(where do i begin) love story	andy williams	columbia	45317
a fool never learns	andy williams	columbia	42950
a song for you	andy williams	columbia	45434
a woman’s way	andy williams	columbia	45003
ain’t it true	andy williams	columbia	43358
almost there	andy williams	columbia	43128
and roses and roses	andy williams	columbia	43257
are you sincere	andy williams	cadence	1340
baby doll	andy williams	cadence	1303
battle hymn of the republic	andy williams	columbia	44650
butterfly	andy williams	cadence	1308
canadian sunset	andy williams	cadence	1297
can’t get used to losing you	andy williams	columbia	42674
can’t help falling in love	andy williams	columbia	45094
danny boy	andy williams	columbia	42199
days of wine and roses	andy williams	columbia	42674
dear heart	andy williams	columbia	43180
do you mind	andy williams	cadence	1381
don’t you believe it	andy williams	columbia	42523
fly by night	andy williams	columbia	42199
happy heart	andy williams	columbia	44818
hopeless	andy williams	columbia	42784
house of bamboo	andy williams	cadence	1358
i like your kind of love	andy williams	cadence	1323
in the arms of love	andy williams	columbia	43737
lips of wine	andy williams	cadence	1336
lonely street	andy williams	cadence	1370
love theme from “the godfather”	andy williams	columbia	45579
more and more	andy williams	columbia	44202
music to watch girls by	andy williams	columbia	44065
on the street where you live	andy williams	columbia	43128
one day of your life	andy williams	columbia	45175
promise me love	andy williams	cadence	1351
quiet nights of quiet stars	andy williams	columbia	43456
stranger on the shore	andy williams	columbia	42451
sweet memories	andy williams	columbia	44527
tell it like it is	andy williams	columbia	10263
the bilbao song	andy williams	cadence	1398
the hawaiian wedding song	andy williams	cadence	1358
the village of st. bernadette	andy williams	cadence	1374
twilight time	andy williams	cadence	1433
wake me when it’s over	andy williams	cadence	1378
white christmas	andy williams	columbia	42894
wrong for each other	andy williams	columbia	43015
