1974-01-05	1	1	9	living for the city	stevie wonder	
1974-01-05	2	2	8	until you come back to me (that's what i'm gonna do)	aretha franklin	
1974-01-05	3	9	7	i've got to use my imagination	gladys knight and the pips	
1974-01-05	4	5	9	stoned to the bone - part 1	james brown	
1974-01-05	5	7	11	this time i'm gone for good	bobby "blue" bland	
1974-01-05	6	10	7	livin' for you	al green	
1974-01-05	7	3	10	come get to this	marvin gaye	
1974-01-05	8	12	9	baby come close	smokey robinson	
1974-01-05	9	4	12	if you're ready (come go with me)	the staple singers	
1974-01-05	10	11	12	show and tell	al wilson	
1974-01-05	11	18	4	let your hair down	the temptations	
1974-01-05	12	8	12	never, never gonna give ya up	barry white	
1974-01-05	13	6	10	river	joe simon	
1974-01-05	14	29	6	i miss you	the dells	
1974-01-05	15	17	9	i'm the midnight special	clarence carter	
1974-01-05	16	13	13	rockin' roll baby	the stylistics	
1974-01-05	17	19	10	i found sunshine	the chi-lites	
1974-01-05	18	20	6	can't say nothin'	curtis mayfield	
1974-01-05	19	22	10	what can i tell her	timmy thomas	
1974-01-05	20	26	7	soft soul boogie woogie	wilson pickett	
1974-01-05	21	40	6	jungle boogie	kool & the gang	
1974-01-05	22	24	7	can this be real	natural four	
1974-01-05	23	27	9	keep your head to the sky	earth, wind & fire	
1974-01-05	24	34	5	trying to hold on to my woman	lamont dozier	
1974-01-05	25	43	4	what it comes down to	the isley brothers	
1974-01-05	26	35	5	sexy mama	moments	
1974-01-05	27	30	13	stormy monday	latimore	
1974-01-05	28	38	6	power of love	jerry butler	
1974-01-05	29	32	9	both ends against the middle	jackie moore	
1974-01-05	30	56	3	put your hands together	the o'jays	
1974-01-05	31	14	10	it's all over	the independents	
1974-01-05	32	53	4	"joy" pt. i	isaac hayes	
1974-01-05	33	15	14	cheaper to keep her	johnnie taylor	
1974-01-05	34	16	16	the love i lost (part 1)	harold melvin and the blue notes	
1974-01-05	35	31	11	you're sweet, you're fine, you're everything	tomorrow's promise	
1974-01-05	36	41	6	quick, fast, in a hurry	new york city	
1974-01-05	37	45	5	wish that you were mine	the manhattans	
1974-01-05	38	44	5	soul power 74 (part i)	maceo and the macks	
1974-01-05	39	47	4	i like to live the love	b.b. king	
1974-01-05	40	42	10	mango meat	mandrill	
1974-01-05	41	46	5	what is hip?	tower of power	
1974-01-05	42	21	10	me and baby brother	war	
1974-01-05	43	60	4	stop to start	blue magic	
1974-01-05	44	51	7	(i'd know you) anywhere	ashford & simpson	
1974-01-05	45	48	8	feel good	rufus	
1974-01-05	46	23	13	i wanna know your name	the intruders	
1974-01-05	47	49	4	love's theme	love unlimited orchestra	
1974-01-05	48	54	6	i've got to break away	baby washington	
1974-01-05	49	25	15	you're a special part of me	diana ross & marvin gaye	
1974-01-05	50	68	2	boogie down	eddie kendricks	
1974-01-05	51	33	9	come live with me	ray charles	
1974-01-05	52	28	15	some guys have all the luck	the persuaders	
1974-01-05	53	36	8	frisky	sly & the family stone	
1974-01-05	54	39	11	love chain	candi staton	
1974-01-05	55	77	2	last time i saw him	diana ross	
1974-01-05	56	65	6	it may be winter outside, (but in my heart it's spring)	love unlimited	
1974-01-05	57	37	15	for your love	gwen mccrae	
1974-01-05	58	50	13	what do you want me to do	lou courtney	
1974-01-05	59	70	2	wang dang doodle	the pointer sisters	
1974-01-05	60	52	13	sweet understanding love	four tops	
1974-01-05	61	69	2	if it's in you to do wrong	the impressions	
1974-01-05	62	85	3	i'll be the other woman	the soul children	
1974-01-05	63	63	10	somebody's been enjoying my home	don covay	
1974-01-05	64	66	6	give me just another day	the miracles	
1974-01-05	65	67	9	getting together	brothers guiding light	
1974-01-05	66	71	5	no time to burn	black heat	
1974-01-05	67	64	8	we want to parrty, parrty, parrty	lyn collins	
1974-01-05	68	73	6	i can't break away	chuck jackson	
1974-01-05	69	72	4	if that's the way you want it	skylark	
1974-01-05	70	78	4	i will	ruby winters	
1974-01-05	71	58	15	fell for you	the dramatics	
1974-01-05	72	82	5	for the good times-part i	seventh wonder	
1974-01-05	73	NEW	1	a mother for my children	the whispers	
1974-01-05	74	NEW	1	the first time we met	independents	
1974-01-05	75	81	5	i'd rather be (blind, cripple & crazy)	o.v. wright	
1974-01-05	76	74	5	talking about the boss and i	harmon bethea	
1974-01-05	77	80	5	know what you're doing when you leave	roshell anderson	
1974-01-05	78	NEW	1	that's what the blues is all about	albert king	
1974-01-05	79	84	3	so tied up	sam dees	
1974-01-05	80	83	5	you're my desire	four mints	
1974-01-05	81	91	3	funky music part i	thomas east	
1974-01-05	82	87	3	come little children	donny hathaway	
1974-01-05	83	90	3	fool's hall of fame	ike lovely	
1974-01-05	84	93	3	i had a talk with my man	inez foxx	
1974-01-05	85	88	3	flashback	the 5th dimension	
1974-01-05	86	94	3	baby i love you	benny johnson	
1974-01-05	87	95	3	peek-a-boo	darren green	
1974-01-05	88	97	2	there's got to be rain in your life (to appreciate the sunshine)	dorothy norwood	
1974-01-05	89	75	4	the first day	the softones	
1974-01-05	90	96	2	love epidemic	the trammps	
1974-01-05	91	NEW	1	i told you so	the delfonics	
1974-01-05	92	89	4	love is such a good thing	fessor funk	
1974-01-05	93	100	2	witch doctor bump	the chubukos	
1974-01-05	94	98	2	talk to the rain	spring	
1974-01-05	95	99	2	i need someone	linda perry	
1974-01-05	96	NEW	1	sweet dan	betty everett	
1974-01-05	97	NEW	1	let them talk	z.z. hill	
1974-01-05	98	NEW	1	get your thing together	annette snell	
1974-01-05	99	NEW	1	you're too good to be true	creative source	
1974-01-05	100	NEW	1	so much confusion	king floyd	
1974-01-12	1	2	9	until you come back to me (that's what i'm gonna do)	aretha franklin	
1974-01-12	2	3	8	i've got to use my imagination	gladys knight and the pips	
1974-01-12	3	6	8	livin' for you	al green	
1974-01-12	4	4	10	stoned to the bone - part 1	james brown	
1974-01-12	5	5	12	this time i'm gone for good	bobby "blue" bland	
1974-01-12	6	1	10	living for the city	stevie wonder	
1974-01-12	7	8	10	baby come close	smokey robinson	
1974-01-12	8	11	5	let your hair down	the temptations	
1974-01-12	9	14	7	i miss you	the dells	
1974-01-12	10	25	5	what it comes down to	the isley brothers	
1974-01-12	11	10	13	show and tell	al wilson	
1974-01-12	12	30	4	put your hands together	the o'jays	
1974-01-12	13	24	6	trying to hold on to my woman	lamont dozier	
1974-01-12	14	9	13	if you're ready (come go with me)	the staple singers	
1974-01-12	15	26	6	sexy mama	moments	
1974-01-12	16	18	7	can't say nothin'	curtis mayfield	
1974-01-12	17	16	14	rockin' roll baby	the stylistics	
1974-01-12	18	21	7	jungle boogie	kool & the gang	
1974-01-12	19	22	8	can this be real	natural four	
1974-01-12	20	20	8	soft soul boogie woogie	wilson pickett	
1974-01-12	21	28	7	power of love	jerry butler	
1974-01-12	22	32	5	"joy" pt. i	isaac hayes	
1974-01-12	23	15	10	i'm the midnight special	clarence carter	
1974-01-12	24	19	11	what can i tell her	timmy thomas	
1974-01-12	25	12	13	never, never gonna give ya up	barry white	
1974-01-12	26	17	11	i found sunshine	the chi-lites	
1974-01-12	27	7	11	come get to this	marvin gaye	
1974-01-12	28	29	10	both ends against the middle	jackie moore	
1974-01-12	29	39	5	i like to live the love	b.b. king	
1974-01-12	30	50	3	boogie down	eddie kendricks	
1974-01-12	31	13	11	river	joe simon	
1974-01-12	32	36	7	quick, fast, in a hurry	new york city	
1974-01-12	33	43	5	stop to start	blue magic	
1974-01-12	34	23	10	keep your head to the sky	earth, wind & fire	
1974-01-12	35	27	14	stormy monday	latimore	
1974-01-12	36	37	6	wish that you were mine	the manhattans	
1974-01-12	37	38	6	soul power 74 (part i)	maceo and the macks	
1974-01-12	38	47	5	love's theme	love unlimited orchestra	
1974-01-12	39	41	6	what is hip?	tower of power	
1974-01-12	40	48	7	i've got to break away	baby washington	
1974-01-12	41	35	12	you're sweet, you're fine, you're everything	tomorrow's promise	
1974-01-12	42	44	8	(i'd know you) anywhere	ashford & simpson	
1974-01-12	43	31	11	it's all over	the independents	
1974-01-12	44	55	3	last time i saw him	diana ross	
