1960-01-04	1	1	10	the clouds	the spacemen	Alton 254
1960-01-04	2	8	8	be my guest	fats domino	Imperial 5629
1960-01-04	3	4	11	you got what it takes	marv johnson	United Artists 185
1960-01-04	4	2	10	dance with me	the drifters	Atlantic 2040
1960-01-04	5	5	6	smokie - part 2	bill black's combo	Hi 2018
1960-01-04	6	16	6	wont'cha come home	lloyd price and his orchestra	ABC-Para 10062
1960-01-04	7	7	16	mack the knife	bobby darin	Atco 6147
1960-01-04	8	14	6	talk that talk	jackie wilson	
1960-01-04	9	9	3	i'll take care of you	bobby bland	Duke 314
1960-01-04	10	3	7	come into my heart	lloyd price and his orchestra	ABC-Para 10062
1960-01-04	11	6	9	always	sammy turner	
1960-01-04	12	13	12	mr. blue	the fleetwoods	Dolton 5
1960-01-04	13	11	7	in the mood	ernie fields & orch.	
1960-01-04	14	NEW	1	this time of the year	brook benton	Mercury 71554
1960-01-04	15	NEW	1	let's try again	clyde mcphatter	MGM 12843
1960-01-04	16	NEW	1	running bear	johnny preston	Mercury 71474
1960-01-04	17	15	5	fannie mae	buster brown	Fire 1008
1960-01-04	18	12	12	so many ways	brook benton	Mercury 71512
1960-01-04	19	22	3	heartaches by the number	guy mitchell	Columbia 41476
1960-01-04	20	10	12	&lt;p6&gt;(if you cry) &lt;p255&gt;true love, true love	the drifters	
1960-01-04	21	19	13	don't you know	della reese	RCA Victor 7591
1960-01-04	22	18	5	reveille rock	johnny and the hurricanes	Warwick 513
1960-01-04	23	17	8	unforgettable	dinah washington	
1960-01-04	24	RE	14	say man	bo diddley	Checker 931
1960-01-04	25	28	8	smooth operator	sarah vaughan	Portrait 04807
1960-01-04	26	26	5	you went back on your word	clyde mcphatter	Atlantic 2038
1960-01-04	27	29	8	danny boy	conway twitty	
1960-01-04	28	30	11	i don't know	ruth brown	
1960-01-04	29	20	4	tiny tim	lavern baker	Atlantic 2041
1960-01-04	30	21	5	i've been around	fats domino	Imperial 5629
1960-01-11	1	5	7	smokie - part 2	bill black's combo	Hi 2018
1960-01-11	2	10	8	come into my heart	lloyd price and his orchestra	ABC-Para 10062
1960-01-11	3	2	9	be my guest	fats domino	Imperial 5629
1960-01-11	4	9	4	i'll take care of you	bobby bland	Duke 314
1960-01-11	5	1	11	the clouds	the spacemen	Alton 254
1960-01-11	6	3	12	you got what it takes	marv johnson	United Artists 185
1960-01-11	7	16	2	running bear	johnny preston	Mercury 71474
1960-01-11	8	6	7	wont'cha come home	lloyd price and his orchestra	ABC-Para 10062
1960-01-11	9	8	7	talk that talk	jackie wilson	
1960-01-11	10	NEW	1	why	frankie avalon	Chancellor 1045
1960-01-11	11	4	11	dance with me	the drifters	Atlantic 2040
1960-01-11	12	14	2	this time of the year	brook benton	Mercury 71554
1960-01-11	13	15	2	let's try again	clyde mcphatter	MGM 12843
1960-01-11	14	NEW	1	way down yonder in new orleans	freddie cannon	
1960-01-11	15	7	17	mack the knife	bobby darin	Atco 6147
1960-01-11	16	17	6	fannie mae	buster brown	Fire 1008
1960-01-11	17	NEW	1	tear drop	santo & johnny	Canadian American 107
1960-01-11	18	NEW	1	among my souvenirs	connie francis	MGM 12841
1960-01-11	19	18	13	so many ways	brook benton	Mercury 71512
1960-01-11	20	11	10	always	sammy turner	
1960-01-11	21	12	13	mr. blue	the fleetwoods	Dolton 5
1960-01-11	22	13	8	in the mood	ernie fields & orch.	
1960-01-11	23	24	15	say man	bo diddley	Checker 931
1960-01-11	24	26	6	you went back on your word	clyde mcphatter	Atlantic 2038
1960-01-11	25	19	4	heartaches by the number	guy mitchell	Columbia 41476
1960-01-11	26	25	9	smooth operator	sarah vaughan	Portrait 04807
1960-01-11	27	NEW	1	first name initial	annette with the afterbeats	Buena Vista 349
1960-01-11	28	21	14	don't you know	della reese	RCA Victor 7591
1960-01-11	29	22	6	reveille rock	johnny and the hurricanes	Warwick 513
1960-01-11	30	23	9	unforgettable	dinah washington	
1960-01-18	1	1	8	smokie - part 2	bill black's combo	Hi 2018
1960-01-18	2	6	13	you got what it takes	marv johnson	United Artists 185
1960-01-18	3	9	8	talk that talk	jackie wilson	
1960-01-18	4	4	5	i'll take care of you	bobby bland	Duke 314
1960-01-18	5	2	9	come into my heart	lloyd price and his orchestra	ABC-Para 10062
1960-01-18	6	10	2	why	frankie avalon	Chancellor 1045
1960-01-18	7	7	3	running bear	johnny preston	Mercury 71474
1960-01-18	8	5	12	the clouds	the spacemen	Alton 254
1960-01-18	9	RE	5	uh! oh! part 2	the nutty squirrels	Hanover 4540
1960-01-18	10	NEW	1	how about that	dee clark	Abner 1032
1960-01-18	11	18	2	among my souvenirs	connie francis	MGM 12841
1960-01-18	12	8	8	wont'cha come home	lloyd price and his orchestra	ABC-Para 10062
1960-01-18	13	NEW	1	sweet sixteen	b.b. king	
1960-01-18	14	3	10	be my guest	fats domino	Imperial 5629
1960-01-18	15	13	3	let's try again	clyde mcphatter	MGM 12843
1960-01-18	16	16	7	fannie mae	buster brown	Fire 1008
1960-01-18	17	NEW	1	it's time to cry	paul anka	ABC-Para 10064
1960-01-18	18	14	2	way down yonder in new orleans	freddie cannon	
1960-01-18	19	RE	13	&lt;p6&gt;(if you cry) &lt;p255&gt;true love, true love	the drifters	
1960-01-18	20	RE	7	let them talk	little willie john	King 5274
1960-01-18	21	20	11	always	sammy turner	
1960-01-18	22	17	2	tear drop	santo & johnny	Canadian American 107
1960-01-18	23	NEW	1	what about us	the coasters	Atco 6153
1960-01-18	24	NEW	1	teen angel	mark dinning	MGM 12845
1960-01-18	25	NEW	1	go, jimmy, go	jimmy clanton	Ace 575
1960-01-18	26	11	12	dance with me	the drifters	Atlantic 2040
1960-01-18	27	19	14	so many ways	brook benton	Mercury 71512
1960-01-18	28	NEW	1	shimmy, shimmy, ko-ko-bop	little anthony and the imperials	End 1060
1960-01-18	29	22	9	in the mood	ernie fields & orch.	
1960-01-18	30	27	2	first name initial	annette with the afterbeats	Buena Vista 349
1960-01-25	1	1	9	smokie - part 2	bill black's combo	Hi 2018
1960-01-25	2	2	14	you got what it takes	marv johnson	United Artists 185
1960-01-25	3	3	9	talk that talk	jackie wilson	
1960-01-25	4	5	10	come into my heart	lloyd price and his orchestra	ABC-Para 10062
1960-01-25	5	8	13	the clouds	the spacemen	Alton 254
1960-01-25	6	4	6	i'll take care of you	bobby bland	Duke 314
1960-01-25	7	7	4	running bear	johnny preston	Mercury 71474
1960-01-25	8	13	2	sweet sixteen	b.b. king	
1960-01-25	9	NEW	1	baby (you've got what it takes)	dinah washington & brook benton	Mercury 71565
1960-01-25	10	11	3	among my souvenirs	connie francis	MGM 12841
1960-01-25	11	16	8	fannie mae	buster brown	Fire 1008
1960-01-25	12	6	3	why	frankie avalon	Chancellor 1045
1960-01-25	13	17	2	it's time to cry	paul anka	ABC-Para 10064
1960-01-25	14	10	2	how about that	dee clark	Abner 1032
1960-01-25	15	24	2	teen angel	mark dinning	MGM 12845
1960-01-25	16	28	2	shimmy, shimmy, ko-ko-bop	little anthony and the imperials	End 1060
1960-01-25	17	23	2	what about us	the coasters	Atco 6153
1960-01-25	18	15	4	let's try again	clyde mcphatter	MGM 12843
1960-01-25	19	27	15	so many ways	brook benton	Mercury 71512
1960-01-25	20	NEW	1	not one minute more	della reese	RCA Victor 7644
1960-01-25	21	14	11	be my guest	fats domino	Imperial 5629
1960-01-25	22	9	6	uh! oh! part 2	the nutty squirrels	Hanover 4540
1960-01-25	23	20	8	let them talk	little willie john	King 5274
1960-01-25	24	12	9	wont'cha come home	lloyd price and his orchestra	ABC-Para 10062
1960-01-25	25	19	14	&lt;p6&gt;(if you cry) &lt;p255&gt;true love, true love	the drifters	
1960-01-25	26	21	12	always	sammy turner	
1960-01-25	27	NEW	1	money (that's what i want)	barrett strong	Anna 1111
1960-01-25	28	25	2	go, jimmy, go	jimmy clanton	Ace 575
1960-01-25	29	29	10	in the mood	ernie fields & orch.	
1960-01-25	30	18	3	way down yonder in new orleans	freddie cannon	
1960-02-01	1	1	10	smokie - part 2	bill black's combo	Hi 2018
1960-02-01	2	9	2	baby (you've got what it takes)	dinah washington & brook benton	Mercury 71565
1960-02-01	3	2	15	you got what it takes	marv johnson	United Artists 185
1960-02-01	4	7	5	running bear	johnny preston	Mercury 71474
1960-02-01	5	3	10	talk that talk	jackie wilson	
1960-02-01	6	8	3	sweet sixteen	b.b. king	
1960-02-01	7	6	7	i'll take care of you	bobby bland	Duke 314
1960-02-01	8	15	3	teen angel	mark dinning	MGM 12845
1960-02-01	9	5	14	the clouds	the spacemen	Alton 254
1960-02-01	10	4	11	come into my heart	lloyd price and his orchestra	ABC-Para 10062
1960-02-01	11	NEW	1	handy man	jimmy jones	Cub 9049
1960-02-01	12	12	4	why	frankie avalon	Chancellor 1045
1960-02-01	13	20	2	not one minute more	della reese	RCA Victor 7644
1960-02-01	14	27	2	money (that's what i want)	barrett strong	Anna 1111
1960-02-01	15	23	9	let them talk	little willie john	King 5274
1960-02-01	16	10	4	among my souvenirs	connie francis	MGM 12841
1960-02-01	17	11	9	fannie mae	buster brown	Fire 1008
1960-02-01	18	16	3	shimmy, shimmy, ko-ko-bop	little anthony and the imperials	End 1060
1960-02-01	19	13	3	it's time to cry	paul anka	ABC-Para 10064
1960-02-01	20	19	16	so many ways	brook benton	Mercury 71512
1960-02-01	21	17	3	what about us	the coasters	Atco 6153
1960-02-01	22	NEW	1	the big hurt	miss toni fisher	Signet 275
1960-02-01	23	28	3	go, jimmy, go	jimmy clanton	Ace 575
1960-02-01	24	NEW	1	just a little bit	rosco gordon	
1960-02-01	25	NEW	1	secret of love	elton anderson with sid lawrence combo	Mercury 71542
1960-02-01	26	30	4	way down yonder in new orleans	freddie cannon	
1960-02-01	27	RE	5	heartaches by the number	guy mitchell	Columbia 41476
1960-02-01	28	24	10	wont'cha come home	lloyd price and his orchestra	ABC-Para 10062
1960-02-01	29	26	13	always	sammy turner	
1960-02-01	30	21	12	be my guest	fats domino	Imperial 5629
1960-02-08	1	2	3	baby (you've got what it takes)	dinah washington & brook benton	Mercury 71565
1960-02-08	2	7	8	i'll take care of you	bobby bland	Duke 314
1960-02-08	3	4	6	running bear	johnny preston	Mercury 71474
1960-02-08	4	5	11	talk that talk	jackie wilson	
1960-02-08	5	11	2	handy man	jimmy jones	Cub 9049
1960-02-08	6	1	11	smokie - part 2	bill black's combo	Hi 2018
1960-02-08	7	3	16	you got what it takes	marv johnson	United Artists 185
1960-02-08	8	14	3	money (that's what i want)	barrett strong	Anna 1111
1960-02-08	9	6	4	sweet sixteen	b.b. king	
1960-02-08	10	24	2	just a little bit	rosco gordon	
1960-02-08	11	15	10	let them talk	little willie john	King 5274
1960-02-08	12	8	4	teen angel	mark dinning	MGM 12845
1960-02-08	13	12	5	why	frankie avalon	Chancellor 1045
1960-02-08	14	17	10	fannie mae	buster brown	Fire 1008
1960-02-08	15	9	15	the clouds	the spacemen	Alton 254
1960-02-08	16	22	2	the big hurt	miss toni fisher	Signet 275
1960-02-08	17	13	3	not one minute more	della reese	RCA Victor 7644
1960-02-08	18	18	4	shimmy, shimmy, ko-ko-bop	little anthony and the imperials	End 1060
1960-02-08	19	23	4	go, jimmy, go	jimmy clanton	Ace 575
1960-02-08	20	10	12	come into my heart	lloyd price and his orchestra	ABC-Para 10062
1960-02-08	21	19	4	it's time to cry	paul anka	ABC-Para 10064
1960-02-08	22	25	2	secret of love	elton anderson with sid lawrence combo	Mercury 71542
1960-02-08	23	NEW	1	don't let the sun catch you cryin'	ray charles	Atlantic 2047
1960-02-08	24	30	13	be my guest	fats domino	Imperial 5629
1960-02-08	25	16	5	among my souvenirs	connie francis	MGM 12841
1960-02-08	26	28	11	wont'cha come home	lloyd price and his orchestra	ABC-Para 10062
1960-02-08	27	21	4	what about us	the coasters	Atco 6153
1960-02-08	28	20	17	so many ways	brook benton	Mercury 71512
1960-02-08	29	29	14	always	sammy turner	
1960-02-08	30	27	6	heartaches by the number	guy mitchell	Columbia 41476
1960-02-15	1	1	4	baby (you've got what it takes)	dinah washington & brook benton	Mercury 71565
1960-02-15	2	10	3	just a little bit	rosco gordon	
1960-02-15	3	9	5	sweet sixteen	b.b. king	
1960-02-15	4	5	3	handy man	jimmy jones	Cub 9049
1960-02-15	5	2	9	i'll take care of you	bobby bland	Duke 314
1960-02-15	6	8	4	money (that's what i want)	barrett strong	Anna 1111
1960-02-15	7	7	17	you got what it takes	marv johnson	United Artists 185
1960-02-15	8	4	12	talk that talk	jackie wilson	
1960-02-15	9	12	5	teen angel	mark dinning	MGM 12845
1960-02-15	10	3	7	running bear	johnny preston	Mercury 71474
1960-02-15	11	NEW	1	the theme from "a summer place"	percy faith and his orchestra	
1960-02-15	12	14	11	fannie mae	buster brown	Fire 1008
1960-02-15	13	NEW	1	what in the world's come over you	jack scott	Top Rank 2028
1960-02-15	14	6	12	smokie - part 2	bill black's combo	Hi 2018
1960-02-15	15	11	11	let them talk	little willie john	King 5274
1960-02-15	16	NEW	1	beyond the sea	bobby darin	Atco 6158
1960-02-15	17	23	2	don't let the sun catch you cryin'	ray charles	Atlantic 2047
1960-02-15	18	17	4	not one minute more	della reese	RCA Victor 7644
1960-02-15	19	NEW	1	(do the) mashed potatoes (part 1)	nat kendrick and the swans	
1960-02-15	20	15	16	the clouds	the spacemen	Alton 254
1960-02-15	21	16	3	the big hurt	miss toni fisher	Signet 275
1960-02-15	22	NEW	1	lady luck	lloyd price and his orchestra	ABC-Para 10075
1960-02-15	23	NEW	1	wild one	bobby rydell	Cameo 171
1960-02-15	24	13	6	why	frankie avalon	Chancellor 1045
1960-02-15	25	18	5	shimmy, shimmy, ko-ko-bop	little anthony and the imperials	End 1060
1960-02-15	26	21	5	it's time to cry	paul anka	ABC-Para 10064
1960-02-15	27	20	13	come into my heart	lloyd price and his orchestra	ABC-Para 10062
1960-02-15	28	24	14	be my guest	fats domino	Imperial 5629
1960-02-15	29	19	5	go, jimmy, go	jimmy clanton	Ace 575
1960-02-15	30	22	3	secret of love	elton anderson with sid lawrence combo	Mercury 71542
1960-02-22	1	1	5	baby (you've got what it takes)	dinah washington & brook benton	Mercury 71565
1960-02-22	2	3	6	sweet sixteen	b.b. king	
1960-02-22	3	2	4	just a little bit	rosco gordon	
1960-02-22	4	4	4	handy man	jimmy jones	Cub 9049
1960-02-22	5	9	6	teen angel	mark dinning	MGM 12845
1960-02-22	6	6	5	money (that's what i want)	barrett strong	Anna 1111
1960-02-22	7	10	8	running bear	johnny preston	Mercury 71474
