1965-01-30	1	NEW	1	where did our love go	the supremes	
1965-01-30	2	NEW	1	sam cooke at the copa	sam cooke	
1965-01-30	3	NEW	1	you've lost that lovin' feelin'	the righteous brothers	
1965-01-30	4	NEW	1	keep on pushing	the impressions	
1965-01-30	5	NEW	1	a bit of liverpool	the supremes	
1965-01-30	6	NEW	1	the best of sam cooke	sam cooke	
1965-01-30	7	NEW	1	hold what you've got	joe tex	
1965-01-30	8	NEW	1	right now!	the righteous brothers	
1965-01-30	9	NEW	1	runnin' out of fools	aretha franklin	
1965-01-30	10	NEW	1	the sidewinder	lee morgan	
1965-02-06	1	2	2	sam cooke at the copa	sam cooke	
1965-02-06	2	1	2	where did our love go	the supremes	
1965-02-06	3	3	2	you've lost that lovin' feelin'	the righteous brothers	
1965-02-06	4	7	2	hold what you've got	joe tex	
1965-02-06	5	4	2	keep on pushing	the impressions	
1965-02-06	6	6	2	the best of sam cooke	sam cooke	
1965-02-06	7	5	2	a bit of liverpool	the supremes	
1965-02-06	8	NEW	1	live! the ike & tina turner show	ike & tina turner	
1965-02-06	9	NEW	1	the nancy wilson show!	nancy wilson	
1965-02-06	10	NEW	1	make way for dionne warwick	dionne warwick	
1965-02-13	1	1	3	sam cooke at the copa	sam cooke	
1965-02-13	2	4	3	hold what you've got	joe tex	
1965-02-13	3	2	3	where did our love go	the supremes	
1965-02-13	4	NEW	1	shake	sam cooke	
1965-02-13	5	6	3	the best of sam cooke	sam cooke	
1965-02-13	6	9	2	the nancy wilson show!	nancy wilson	
1965-02-13	7	7	3	a bit of liverpool	the supremes	
1965-02-13	8	8	2	live! the ike & tina turner show	ike & tina turner	
1965-02-13	9	NEW	1	goin' out of my head	little anthony and the imperials	
1965-02-13	10	NEW	1	how sweet it is to be loved by you	marvin gaye	
1965-02-20	1	1	4	sam cooke at the copa	sam cooke	
1965-02-20	2	2	4	hold what you've got	joe tex	
1965-02-20	3	3	4	where did our love go	the supremes	
1965-02-20	4	4	2	shake	sam cooke	
1965-02-20	5	10	2	how sweet it is to be loved by you	marvin gaye	
1965-02-20	6	6	3	the nancy wilson show!	nancy wilson	
1965-02-20	7	7	4	a bit of liverpool	the supremes	
1965-02-20	8	9	2	goin' out of my head	little anthony and the imperials	
1965-02-20	9	5	4	the best of sam cooke	sam cooke	
1965-02-20	10	8	3	live! the ike & tina turner show	ike & tina turner	
1965-02-27	1	4	3	shake	sam cooke	
1965-02-27	2	1	5	sam cooke at the copa	sam cooke	
1965-02-27	3	3	5	where did our love go	the supremes	
1965-02-27	4	2	5	hold what you've got	joe tex	
1965-02-27	5	5	3	how sweet it is to be loved by you	marvin gaye	
1965-02-27	6	6	4	the nancy wilson show!	nancy wilson	
1965-02-27	7	8	3	goin' out of my head	little anthony and the imperials	
1965-02-27	8	7	5	a bit of liverpool	the supremes	
1965-02-27	9	NEW	3	you've lost that lovin' feelin'	the righteous brothers	
1965-02-27	10	NEW	1	four tops	four tops	
1965-03-06	1	1	4	shake	sam cooke	
1965-03-06	2	2	6	sam cooke at the copa	sam cooke	
1965-03-06	3	3	6	where did our love go	the supremes	
1965-03-06	4	5	4	how sweet it is to be loved by you	marvin gaye	
1965-03-06	5	9	4	you've lost that lovin' feelin'	the righteous brothers	
1965-03-06	6	6	5	the nancy wilson show!	nancy wilson	
1965-03-06	7	7	4	goin' out of my head	little anthony and the imperials	
1965-03-06	8	NEW	1	people get ready	the impressions	
1965-03-06	9	4	6	hold what you've got	joe tex	
1965-03-06	10	10	2	four tops	four tops	
1965-03-13	1	1	5	shake	sam cooke	
1965-03-13	2	2	7	sam cooke at the copa	sam cooke	
1965-03-13	3	8	2	people get ready	the impressions	
1965-03-13	4	3	7	where did our love go	the supremes	
1965-03-13	5	6	6	the nancy wilson show!	nancy wilson	
1965-03-13	6	5	5	you've lost that lovin' feelin'	the righteous brothers	
1965-03-13	7	NEW	1	the impressions greatest hits	the impressions	
1965-03-13	8	7	5	goin' out of my head	little anthony and the imperials	
1965-03-13	9	4	5	how sweet it is to be loved by you	marvin gaye	
1965-03-13	10	NEW	5	the best of sam cooke	sam cooke	
1965-03-20	1	1	6	shake	sam cooke	
1965-03-20	2	3	3	people get ready	the impressions	
1965-03-20	3	4	8	where did our love go	the supremes	
1965-03-20	4	5	7	the nancy wilson show!	nancy wilson	
1965-03-20	5	8	6	goin' out of my head	little anthony and the imperials	
1965-03-20	6	6	6	you've lost that lovin' feelin'	the righteous brothers	
1965-03-20	7	7	2	the impressions greatest hits	the impressions	
1965-03-20	8	2	8	sam cooke at the copa	sam cooke	
1965-03-20	9	9	6	how sweet it is to be loved by you	marvin gaye	
1965-03-20	10	NEW	1	l-o-v-e	nat king cole	
1965-03-27	1	2	4	people get ready	the impressions	
1965-03-27	2	7	3	the impressions greatest hits	the impressions	
1965-03-27	3	3	9	where did our love go	the supremes	
1965-03-27	4	1	7	shake	sam cooke	
1965-03-27	5	5	7	goin' out of my head	little anthony and the imperials	
1965-03-27	6	NEW	1	the temptations sing smokey	the temptations	
1965-03-27	7	4	8	the nancy wilson show!	nancy wilson	
1965-03-27	8	8	9	sam cooke at the copa	sam cooke	
1965-03-27	9	10	2	l-o-v-e	nat king cole	
1965-03-27	10	9	7	how sweet it is to be loved by you	marvin gaye	
1965-04-03	1	1	5	people get ready	the impressions	
1965-04-03	2	2	4	the impressions greatest hits	the impressions	
1965-04-03	3	6	2	the temptations sing smokey	the temptations	
1965-04-03	4	8	10	sam cooke at the copa	sam cooke	
1965-04-03	5	4	8	shake	sam cooke	
1965-04-03	6	3	10	where did our love go	the supremes	
1965-04-03	7	5	8	goin' out of my head	little anthony and the imperials	
1965-04-03	8	7	9	the nancy wilson show!	nancy wilson	
1965-04-03	9	9	3	l-o-v-e	nat king cole	
1965-04-03	10	NEW	1	ray charles live in concert	ray charles	
1965-04-10	1	3	3	the temptations sing smokey	the temptations	
1965-04-10	2	1	6	people get ready	the impressions	
1965-04-10	3	2	5	the impressions greatest hits	the impressions	
1965-04-10	4	4	11	sam cooke at the copa	sam cooke	
1965-04-10	5	5	9	shake	sam cooke	
1965-04-10	6	8	10	the nancy wilson show!	nancy wilson	
1965-04-10	7	7	9	goin' out of my head	little anthony and the imperials	
1965-04-10	8	9	4	l-o-v-e	nat king cole	
1965-04-10	9	10	2	ray charles live in concert	ray charles	
1965-04-10	10	NEW	1	the great otis redding sings soul ballads	otis redding	
1965-04-17	1	1	4	the temptations sing smokey	the temptations	
1965-04-17	2	2	7	people get ready	the impressions	
1965-04-17	3	5	10	shake	sam cooke	
1965-04-17	4	4	12	sam cooke at the copa	sam cooke	
1965-04-17	5	3	6	the impressions greatest hits	the impressions	
1965-04-17	6	NEW	1	greatest hits from the beginning	the miracles	
1965-04-17	7	10	2	the great otis redding sings soul ballads	otis redding	
1965-04-17	8	NEW	1	soul sauce	cal tjader	
1965-04-17	9	9	3	ray charles live in concert	ray charles	
1965-04-17	10	NEW	1	grits & soul	james brown	
1965-04-24	1	1	5	the temptations sing smokey	the temptations	
1965-04-24	2	2	8	people get ready	the impressions	
1965-04-24	3	3	11	shake	sam cooke	
1965-04-24	4	4	13	sam cooke at the copa	sam cooke	
1965-04-24	5	6	2	greatest hits from the beginning	the miracles	
1965-04-24	6	7	3	the great otis redding sings soul ballads	otis redding	
1965-04-24	7	5	7	the impressions greatest hits	the impressions	
1965-04-24	8	8	2	soul sauce	cal tjader	
1965-04-24	9	10	2	grits & soul	james brown	
1965-04-24	10	9	4	ray charles live in concert	ray charles	
1965-05-01	1	1	6	the temptations sing smokey	the temptations	
1965-05-01	2	5	3	greatest hits from the beginning	the miracles	
1965-05-01	3	4	14	sam cooke at the copa	sam cooke	
1965-05-01	4	3	12	shake	sam cooke	
1965-05-01	5	2	9	people get ready	the impressions	
1965-05-01	6	6	4	the great otis redding sings soul ballads	otis redding	
1965-05-01	7	7	8	the impressions greatest hits	the impressions	
1965-05-01	8	8	3	soul sauce	cal tjader	
1965-05-01	9	9	3	grits & soul	james brown	
1965-05-01	10	NEW	1	b.b. king: live at the regal	b.b. king	
1965-05-08	1	1	7	the temptations sing smokey	the temptations	
1965-05-08	2	2	4	greatest hits from the beginning	the miracles	
1965-05-08	3	3	15	sam cooke at the copa	sam cooke	
1965-05-08	4	7	9	the impressions greatest hits	the impressions	
1965-05-08	5	5	10	people get ready	the impressions	
1965-05-08	6	4	13	shake	sam cooke	
1965-05-08	7	10	2	b.b. king: live at the regal	b.b. king	
1965-05-08	8	NEW	1	monster	jimmy smith	
1965-05-08	9	8	4	soul sauce	cal tjader	
1965-05-08	10	6	5	the great otis redding sings soul ballads	otis redding	
1965-05-15	1	1	8	the temptations sing smokey	the temptations	
1965-05-15	2	2	5	greatest hits from the beginning	the miracles	
1965-05-15	3	3	16	sam cooke at the copa	sam cooke	
1965-05-15	4	4	10	the impressions greatest hits	the impressions	
1965-05-15	5	8	2	monster	jimmy smith	
1965-05-15	6	5	11	people get ready	the impressions	
1965-05-15	7	7	3	b.b. king: live at the regal	b.b. king	
1965-05-15	8	6	14	shake	sam cooke	
1965-05-15	9	9	5	soul sauce	cal tjader	
1965-05-15	10	10	6	the great otis redding sings soul ballads	otis redding	
1965-05-22	1	1	9	the temptations sing smokey	the temptations	
1965-05-22	2	2	6	greatest hits from the beginning	the miracles	
1965-05-22	3	4	11	the impressions greatest hits	the impressions	
1965-05-22	4	6	12	people get ready	the impressions	
1965-05-22	5	3	17	sam cooke at the copa	sam cooke	
1965-05-22	6	7	4	b.b. king: live at the regal	b.b. king	
1965-05-22	7	10	7	the great otis redding sings soul ballads	otis redding	
1965-05-22	8	NEW	1	we remember sam cooke	the supremes	
1965-05-22	9	5	3	monster	jimmy smith	
1965-05-22	10	8	15	shake	sam cooke	
1965-05-29	1	1	10	the temptations sing smokey	the temptations	
1965-05-29	2	2	7	greatest hits from the beginning	the miracles	
1965-05-29	3	7	8	the great otis redding sings soul ballads	otis redding	
1965-05-29	4	3	12	the impressions greatest hits	the impressions	
1965-05-29	5	5	18	sam cooke at the copa	sam cooke	
1965-05-29	6	8	2	we remember sam cooke	the supremes	
1965-05-29	7	NEW	1	we're gonna make it	little milton	
1965-05-29	8	4	13	people get ready	the impressions	
1965-05-29	9	9	4	monster	jimmy smith	
1965-05-29	10	6	5	b.b. king: live at the regal	b.b. king	
1965-06-05	1	1	11	the temptations sing smokey	the temptations	
1965-06-05	2	2	8	greatest hits from the beginning	the miracles	
1965-06-05	3	3	9	the great otis redding sings soul ballads	otis redding	
1965-06-05	4	5	19	sam cooke at the copa	sam cooke	
1965-06-05	5	9	5	monster	jimmy smith	
1965-06-05	6	6	3	we remember sam cooke	the supremes	
1965-06-05	7	7	2	we're gonna make it	little milton	
1965-06-05	8	NEW	1	song for my father (cantiga para meu pai)	horace silver	
1965-06-05	9	NEW	1	soul serenade	gloria lynne	
1965-06-05	10	NEW	6	soul sauce	cal tjader	
1965-06-12	1	1	12	the temptations sing smokey	the temptations	
1965-06-12	2	2	9	greatest hits from the beginning	the miracles	
1965-06-12	3	4	20	sam cooke at the copa	sam cooke	
1965-06-12	4	7	3	we're gonna make it	little milton	
1965-06-12	5	6	4	we remember sam cooke	the supremes	
1965-06-12	6	3	10	the great otis redding sings soul ballads	otis redding	
1965-06-12	7	9	2	soul serenade	gloria lynne	
1965-06-12	8	8	2	song for my father (cantiga para meu pai)	horace silver	
1965-06-12	9	10	7	soul sauce	cal tjader	
1965-06-12	10	NEW	3	four tops	four tops	
1965-06-19	1	1	13	the temptations sing smokey	the temptations	
1965-06-19	2	2	10	greatest hits from the beginning	the miracles	
1965-06-19	3	3	21	sam cooke at the copa	sam cooke	
1965-06-19	4	4	4	we're gonna make it	little milton	
1965-06-19	5	5	5	we remember sam cooke	the supremes	
1965-06-19	6	6	11	the great otis redding sings soul ballads	otis redding	
1965-06-19	7	7	3	soul serenade	gloria lynne	
1965-06-19	8	8	3	song for my father (cantiga para meu pai)	horace silver	
1965-06-19	9	NEW	1	today-my way	nancy wilson	
1965-06-19	10	10	4	four tops	four tops	
1965-06-26	1	1	14	the temptations sing smokey	the temptations	
1965-06-26	2	2	11	greatest hits from the beginning	the miracles	
1965-06-26	3	10	5	four tops	four tops	
1965-06-26	4	3	22	sam cooke at the copa	sam cooke	
1965-06-26	5	6	12	the great otis redding sings soul ballads	otis redding	
1965-06-26	6	4	5	we're gonna make it	little milton	
1965-06-26	7	5	6	we remember sam cooke	the supremes	
1965-06-26	8	7	4	soul serenade	gloria lynne	
1965-06-26	9	9	2	today-my way	nancy wilson	
1965-06-26	10	NEW	1	the most exciting organ ever	billy preston	
1965-07-03	1	3	6	four tops	four tops	
1965-07-03	2	1	15	the temptations sing smokey	the temptations	
1965-07-03	3	9	3	today-my way	nancy wilson	
1965-07-03	4	4	23	sam cooke at the copa	sam cooke	
1965-07-03	5	2	12	greatest hits from the beginning	the miracles	
1965-07-03	6	5	13	the great otis redding sings soul ballads	otis redding	
1965-07-03	7	6	6	we're gonna make it	little milton	
1965-07-03	8	NEW	1	shotgun	jr. walker & the all stars	
1965-07-03	9	NEW	1	i do love you	billy stewart	
1965-07-03	10	10	2	the most exciting organ ever	billy preston	
1965-07-10	1	1	7	four tops	four tops	
1965-07-10	2	3	4	today-my way	nancy wilson	
1965-07-10	3	2	16	the temptations sing smokey	the temptations	
1965-07-10	4	9	2	i do love you	billy stewart	
1965-07-10	5	8	2	shotgun	jr. walker & the all stars	
1965-07-10	6	5	13	greatest hits from the beginning	the miracles	
1965-07-10	7	6	14	the great otis redding sings soul ballads	otis redding	
1965-07-10	8	7	7	we're gonna make it	little milton	
1965-07-10	9	10	3	the most exciting organ ever	billy preston	
1965-07-10	10	NEW	1	the very best of solomon burke	solomon burke	
1965-07-17	1	1	8	four tops	four tops	
1965-07-17	2	5	3	shotgun	jr. walker & the all stars	
1965-07-17	3	3	17	the temptations sing smokey	the temptations	
1965-07-17	4	4	3	i do love you	billy stewart	
1965-07-17	5	2	5	today-my way	nancy wilson	
1965-07-17	6	7	15	the great otis redding sings soul ballads	otis redding	
1965-07-17	7	6	14	greatest hits from the beginning	the miracles	
1965-07-17	8	8	8	we're gonna make it	little milton	
1965-07-17	9	10	2	the very best of solomon burke	solomon burke	
1965-07-17	10	9	4	the most exciting organ ever	billy preston	
1965-07-24	1	2	4	shotgun	jr. walker & the all stars	
1965-07-24	2	1	9	four tops	four tops	
1965-07-24	3	4	4	i do love you	billy stewart	
1965-07-24	4	3	18	the temptations sing smokey	the temptations	
1965-07-24	5	8	9	we're gonna make it	little milton	
1965-07-24	6	5	6	today-my way	nancy wilson	
1965-07-24	7	10	5	the most exciting organ ever	billy preston	
1965-07-24	8	7	15	greatest hits from the beginning	the miracles	
1965-07-24	9	9	3	the very best of solomon burke	solomon burke	
1965-07-24	10	NEW	1	(if it is) only for tonight	o.v. wright	
1965-07-31	1	4	19	the temptations sing smokey	the temptations	
1965-07-31	2	3	5	i do love you	billy stewart	
1965-07-31	3	5	10	we're gonna make it	little milton	
1965-07-31	4	2	10	four tops	four tops	
1965-07-31	5	1	5	shotgun	jr. walker & the all stars	
1965-07-31	6	9	4	the very best of solomon burke	solomon burke	
1965-07-31	7	7	6	the most exciting organ ever	billy preston	
1965-07-31	8	8	16	greatest hits from the beginning	the miracles	
1965-07-31	9	6	7	today-my way	nancy wilson	
1965-07-31	10	10	2	(if it is) only for tonight	o.v. wright	
1965-08-07	1	1	20	the temptations sing smokey	the temptations	
1965-08-07	2	2	6	i do love you	billy stewart	
1965-08-07	3	5	6	shotgun	jr. walker & the all stars	
1965-08-07	4	4	11	four tops	four tops	
1965-08-07	5	7	7	the most exciting organ ever	billy preston	
1965-08-07	6	3	11	we're gonna make it	little milton	
1965-08-07	7	NEW	1	the best of sam cooke, volume 2	sam cooke	
1965-08-07	8	NEW	1	yeah!!!	aretha franklin	
