2010-01-02	1	53	2	the element of freedom	alicia keys	
2010-01-02	2	NEW	1	sex therapy: the session	robin thicke	
2010-01-02	3	3	9	michael jackson's this is it (soundtrack)	michael jackson	
2010-01-02	4	4	28	the e.n.d.	the black eyed peas	
2010-01-02	5	6	4	rated r	rihanna	
2010-01-02	6	1	2	graffiti	chris brown	
2010-01-02	7	2	2	the state vs. radric davis	gucci mane	
2010-01-02	8	10	15	the blueprint 3	jay-z	
2010-01-02	9	5	2	malice n wonderland	snoop dogg	
2010-01-02	10	11	58	i am...sasha fierce	beyonce	
2010-01-02	11	8	3	untitled	r. kelly	
2010-01-02	12	15	16	i look to you	whitney houston	
2010-01-02	13	12	6	before i self-destruct	50 cent	
2010-01-02	14	13	16	ready	trey songz	
2010-01-02	15	7	2	timbaland presents shock value ii	timbaland	
2010-01-02	16	18	6	the bridge	melanie fiona	
2010-01-02	17	16	25	now 31	various artists	
2010-01-02	18	23	31	relapse	eminem	
2010-01-02	19	20	15	so far gone (ep)	drake	
2010-01-02	20	22	24	blacksummers'night	maxwell	
2010-01-02	21	21	13	memoirs of an imperfect angel	mariah carey	
2010-01-02	22	19	10	ultimate christmas collection	jackson 5	
2010-01-02	23	17	4	pricele$$	birdman	
2010-01-02	24	26	12	still	bebe & cece winans	
2010-01-02	25	9	2	til the casket drops	clipse	
2010-01-02	26	25	5	number ones	janet	
2010-01-02	27	32	14	man on the moon: the end of day	kid cudi	
2010-01-02	28	31	5	love	boyz ii men	
2010-01-02	29	28	33	epiphany	chrisette michele	
2010-01-02	30	14	2	too hood 2 be hollywood	b.g.	
2010-01-02	31	35	14	skinny jeanz and a mic	new boyz	
2010-01-02	32	24	3	cocky & confident	juvenile	
2010-01-02	33	33	4	unexpected	angie stone	
2010-01-02	34	30	4	blakroc	blakroc	
2010-01-02	35	36	16	rebelution	pitbull	
2010-01-02	36	40	61	the sound	mary mary	
2010-01-02	37	48	17	the definitive collection	michael jackson	
2010-01-02	38	34	6	attention deficit	wale	
2010-01-02	39	43	8	k.o.d.	tech n9ne	
2010-01-02	40	56	18	turn me loose	ledisi	
2010-01-02	41	42	44	uncle charlie	charlie wilson	
2010-01-02	42	37	9	colour me free!	joss stone	
2010-01-02	43	49	7	now that's what i call dance classics	various artists	
2010-01-02	44	41	20	i get around	k'jon	
2010-01-02	45	39	5	the ultimate motown christmas collection	various artists	
2010-01-02	46	52	21	above and beyonce: video collection & dance mixes (ep)	beyonce	
