1973-01-06	1	2	7	superstition	stevie wonder	
1973-01-06	2	3	9	why can't we live together	timmy thomas	
1973-01-06	3	1	11	me and mrs. jones	billy paul	
1973-01-06	4	6	8	i got a bag of my own	james brown	
1973-01-06	5	5	6	trouble in my home/i found my dad	joe simon	
1973-01-06	6	8	7	superfly	curtis mayfield	
1973-01-06	7	4	10	you ought to be with me	al green	
1973-01-06	8	7	8	keeper of the castle	four tops	
1973-01-06	9	11	6	i'll be your shelter (in time of storm)	luther ingram	
1973-01-06	10	15	6	the world is a ghetto	war	
1973-01-06	11	12	11	love jones	brighter side of darkness	
1973-01-06	12	20	3	trouble man	marvin gaye	
1973-01-06	13	9	13	if you don't know me by now	harold melvin and the blue notes	
1973-01-06	14	10	13	papa was a rollin' stone	the temptations	
1973-01-06	15	18	5	we need order	the chi-lites	
1973-01-06	16	13	9	corner of the sky	jackson 5	
1973-01-06	17	17	6	i've never found a man (to love me like you do)	esther phillips	
1973-01-06	18	22	4	harry hippie	bobby womack & peace	
1973-01-06	19	14	13	i'm stone in love with you	the stylistics	
1973-01-06	20	16	8	992 arguments	the o'jays	
1973-01-06	21	19	9	one night affair	jerry butler	
1973-01-06	22	23	7	feel the need	detroit emeralds	
1973-01-06	23	25	6	my thing	moments	
1973-01-06	24	24	4	silly wasn't i	valerie simpson	
1973-01-06	25	29	5	i miss you baby	millie jackson	
1973-01-06	26	36	2	let us love	bill withers	
1973-01-06	27	31	2	daddy's home	jermaine jackson	
1973-01-06	28	28	5	we did it	syl johnson	
1973-01-06	29	34	4	today i started loving you again	bettye swann	
1973-01-06	30	32	7	(i got) so much trouble in my mind pt. 1	joe quarterman	
1973-01-06	31	50	2	could it be i'm falling in love	the spinners	
1973-01-06	32	27	10	trying to live my life without you	otis clay	
1973-01-06	33	40	3	what my baby needs now is a little more lovin'	james brown-lyn collins	
1973-01-06	34	39	4	give me your love	barbara mason	
1973-01-06	35	21	10	work to do	the isley brothers	
1973-01-06	36	42	2	i can't stand to see you cry	smokey robinson & the miracles	
1973-01-06	37	38	5	save that thing	rimshots	
1973-01-06	38	41	4	breaking up somebody's home	albert king	
1973-01-06	39	NEW	1	you've got to take it (if you want it)	the main ingredient	
1973-01-06	40	45	2	wish that i could talk to you	the sylvers	
1973-01-06	41	43	3	crumbs off the table	laura lee	
1973-01-06	42	44	4	i won't let that chump break your heart	carl carlton	
1973-01-06	43	NEW	1	grand central shuttle	johnny griffith, inc	
1973-01-06	44	49	2	don't leave me starvin' for your love (part 1)	holland-dozier	
1973-01-06	45	48	2	somebody loves you	the whispers	
1973-01-06	46	NEW	1	after hours	j.r. bailey	
1973-01-06	47	47	3	hey mister	ray charles	
1973-01-06	48	46	4	back in your arms	clarence carter	
1973-01-06	49	NEW	1	you can do magic	limmie & family cookin'	
1973-01-06	80	NEW	1	the truth shall make you free (st. john 8:32)	king hannibal	
1973-01-13	1	1	8	superstition	stevie wonder	
1973-01-13	2	2	10	why can't we live together	timmy thomas	
1973-01-13	3	4	9	i got a bag of my own	james brown	
1973-01-13	4	3	12	me and mrs. jones	billy paul	
1973-01-13	5	6	8	superfly	curtis mayfield	
1973-01-13	6	10	7	the world is a ghetto	war	
1973-01-13	7	12	4	trouble man	marvin gaye	
1973-01-13	8	5	7	trouble in my home/i found my dad	joe simon	
1973-01-13	9	9	7	i'll be your shelter (in time of storm)	luther ingram	
1973-01-13	10	11	12	love jones	brighter side of darkness	
1973-01-13	11	8	9	keeper of the castle	four tops	
1973-01-13	12	7	11	you ought to be with me	al green	
1973-01-13	13	15	6	we need order	the chi-lites	
1973-01-13	14	18	5	harry hippie	bobby womack & peace	
1973-01-13	15	13	14	if you don't know me by now	harold melvin and the blue notes	
1973-01-13	16	14	14	papa was a rollin' stone	the temptations	
1973-01-13	17	26	3	let us love	bill withers	
1973-01-13	18	17	7	i've never found a man (to love me like you do)	esther phillips	
1973-01-13	19	31	3	could it be i'm falling in love	the spinners	
1973-01-13	20	16	10	corner of the sky	jackson 5	
1973-01-13	21	23	7	my thing	moments	
1973-01-13	22	19	14	i'm stone in love with you	the stylistics	
1973-01-13	23	25	6	i miss you baby	millie jackson	
1973-01-13	24	27	3	daddy's home	jermaine jackson	
1973-01-13	25	24	5	silly wasn't i	valerie simpson	
1973-01-13	26	33	4	what my baby needs now is a little more lovin'	james brown-lyn collins	
1973-01-13	27	22	8	feel the need	detroit emeralds	
1973-01-13	28	29	5	today i started loving you again	bettye swann	
1973-01-13	29	36	3	i can't stand to see you cry	smokey robinson & the miracles	
1973-01-13	30	20	9	992 arguments	the o'jays	
1973-01-13	31	28	6	we did it	syl johnson	
1973-01-13	32	34	5	give me your love	barbara mason	
1973-01-13	33	39	2	you've got to take it (if you want it)	the main ingredient	
1973-01-13	34	21	10	one night affair	jerry butler	
1973-01-13	35	30	8	(i got) so much trouble in my mind pt. 1	joe quarterman	
1973-01-13	36	37	6	save that thing	rimshots	
1973-01-13	37	40	3	wish that i could talk to you	the sylvers	
1973-01-13	38	44	3	don't leave me starvin' for your love (part 1)	holland-dozier	
1973-01-13	39	38	5	breaking up somebody's home	albert king	
1973-01-13	40	46	2	after hours	j.r. bailey	
1973-01-13	41	41	4	crumbs off the table	laura lee	
1973-01-13	42	42	5	i won't let that chump break your heart	carl carlton	
1973-01-13	43	43	2	grand central shuttle	johnny griffith, inc	
1973-01-13	44	NEW	1	oh no, not my baby	merry clayton	
1973-01-13	45	45	3	somebody loves you	the whispers	
1973-01-13	46	NEW	1	back up	the manhattans	
1973-01-13	47	49	2	you can do magic	limmie & family cookin'	
1973-01-13	48	80	2	the truth shall make you free (st. john 8:32)	king hannibal	
1973-01-13	49	NEW	1	love is here	the futures	
1973-01-13	50	NEW	1	let me do my thing	the people's choice	
1973-01-20	1	1	9	superstition	stevie wonder	
1973-01-20	2	2	11	why can't we live together	timmy thomas	
1973-01-20	3	6	8	the world is a ghetto	war	
1973-01-20	4	7	5	trouble man	marvin gaye	
1973-01-20	5	5	9	superfly	curtis mayfield	
1973-01-20	6	3	10	i got a bag of my own	james brown	
1973-01-20	7	4	13	me and mrs. jones	billy paul	
1973-01-20	8	10	13	love jones	brighter side of darkness	
1973-01-20	9	9	8	i'll be your shelter (in time of storm)	luther ingram	
1973-01-20	10	19	4	could it be i'm falling in love	the spinners	
1973-01-20	11	14	6	harry hippie	bobby womack & peace	
1973-01-20	12	8	8	trouble in my home/i found my dad	joe simon	
1973-01-20	13	13	7	we need order	the chi-lites	
1973-01-20	14	11	10	keeper of the castle	four tops	
1973-01-20	15	12	12	you ought to be with me	al green	
1973-01-20	16	16	15	papa was a rollin' stone	the temptations	
1973-01-20	17	17	4	let us love	bill withers	
1973-01-20	18	24	4	daddy's home	jermaine jackson	
1973-01-20	19	21	8	my thing	moments	
1973-01-20	20	26	5	what my baby needs now is a little more lovin'	james brown-lyn collins	
1973-01-20	21	15	15	if you don't know me by now	harold melvin and the blue notes	
1973-01-20	22	23	7	i miss you baby	millie jackson	
1973-01-20	23	18	8	i've never found a man (to love me like you do)	esther phillips	
1973-01-20	24	29	4	i can't stand to see you cry	smokey robinson & the miracles	
1973-01-20	25	25	6	silly wasn't i	valerie simpson	
1973-01-20	26	20	11	corner of the sky	jackson 5	
1973-01-20	27	28	6	today i started loving you again	bettye swann	
1973-01-20	28	33	3	you've got to take it (if you want it)	the main ingredient	
1973-01-20	29	32	6	give me your love	barbara mason	
1973-01-20	30	22	15	i'm stone in love with you	the stylistics	
1973-01-20	31	31	7	we did it	syl johnson	
1973-01-20	32	37	4	wish that i could talk to you	the sylvers	
1973-01-20	33	38	4	don't leave me starvin' for your love (part 1)	holland-dozier	
1973-01-20	34	27	9	feel the need	detroit emeralds	
1973-01-20	35	NEW	1	love train	the o'jays	
1973-01-20	36	36	7	save that thing	rimshots	
1973-01-20	37	NEW	1	i got ants in my pants - part 1 and i want to dance	james brown	
1973-01-20	38	40	3	after hours	j.r. bailey	
1973-01-20	39	39	6	breaking up somebody's home	albert king	
1973-01-20	40	41	5	crumbs off the table	laura lee	
1973-01-20	41	46	2	back up	the manhattans	
1973-01-20	42	42	6	i won't let that chump break your heart	carl carlton	
1973-01-20	43	44	2	oh no, not my baby	merry clayton	
1973-01-20	44	NEW	1	do it in the name of love	candi staton	
1973-01-20	45	47	3	you can do magic	limmie & family cookin'	
1973-01-20	46	50	2	let me do my thing	the people's choice	
1973-01-20	47	49	2	love is here	the futures	
1973-01-20	48	48	3	the truth shall make you free (st. john 8:32)	king hannibal	
1973-01-20	49	NEW	1	don't burn me	paul kelly	
1973-01-20	50	NEW	1	my everything you are	the mark iv	
1973-01-27	1	2	12	why can't we live together	timmy thomas	
1973-01-27	2	1	10	superstition	stevie wonder	
1973-01-27	3	3	9	the world is a ghetto	war	
1973-01-27	4	4	6	trouble man	marvin gaye	
1973-01-27	5	8	14	love jones	brighter side of darkness	
1973-01-27	6	10	5	could it be i'm falling in love	the spinners	
1973-01-27	7	5	10	superfly	curtis mayfield	
1973-01-27	8	7	14	me and mrs. jones	billy paul	
1973-01-27	9	11	7	harry hippie	bobby womack & peace	
1973-01-27	10	6	11	i got a bag of my own	james brown	
1973-01-27	11	9	9	i'll be your shelter (in time of storm)	luther ingram	
1973-01-27	12	18	5	daddy's home	jermaine jackson	
1973-01-27	13	12	9	trouble in my home/i found my dad	joe simon	
1973-01-27	14	14	11	keeper of the castle	four tops	
1973-01-27	15	13	8	we need order	the chi-lites	
1973-01-27	16	35	2	love train	the o'jays	
1973-01-27	17	15	13	you ought to be with me	al green	
